route_id,vehicle_type,load_weight_kg,weight_capacity_kg,weight_margin_kg,load_volume_m3,volume_capacity_m3,volume_margin_m3,capacity_check_result
EV-3000-001-T01,EV-3000,2935.148,3000.0,64.852,8.973155,15.0,6.026845,PASS
EV-3000-001-T02,EV-3000,3000.0,3000.0,0.0,8.20587,15.0,6.79413,PASS
EV-3000-002-T01,EV-3000,2772.246,3000.0,227.754,8.023402,15.0,6.976598,PASS
EV-3000-002-T02,EV-3000,3000.0,3000.0,0.0,7.710284,15.0,7.289716,PASS
EV-3000-002-T03,EV-3000,3000.0,3000.0,0.0,9.344487,15.0,5.655513,PASS
EV-3000-003-T01,EV-3000,2977.466,3000.0,22.534,8.467152,15.0,6.532848,PASS
EV-3000-003-T02,EV-3000,3000.0,3000.0,0.0,7.785846,15.0,7.214154,PASS
EV-3000-003-T03,EV-3000,3000.0,3000.0,0.0,8.070727,15.0,6.929273,PASS
EV-3000-004-T01,EV-3000,2966.724,3000.0,33.276,8.620091,15.0,6.379909,PASS
EV-3000-004-T02,EV-3000,2807.891,3000.0,192.109,7.56947,15.0,7.43053,PASS
EV-3000-005-T01,EV-3000,2865.872,3000.0,134.128,8.228974,15.0,6.771026,PASS
EV-3000-005-T02,EV-3000,3000.0,3000.0,0.0,7.528245,15.0,7.471755,PASS
EV-3000-006-T01,EV-3000,2984.801,3000.0,15.199,7.3825,15.0,7.6175,PASS
EV-3000-006-T02,EV-3000,3000.0,3000.0,0.0,8.035869,15.0,6.964131,PASS
EV-3000-006-T03,EV-3000,2194.834,3000.0,805.166,5.945487,15.0,9.054513,PASS
EV-3000-006-T04,EV-3000,3000.0,3000.0,0.0,7.458962,15.0,7.541038,PASS
EV-3000-007-T01,EV-3000,3000.0,3000.0,0.0,9.065423,15.0,5.934577,PASS
EV-3000-007-T02,EV-3000,3000.0,3000.0,0.0,7.492424,15.0,7.507576,PASS
EV-3000-007-T03,EV-3000,3000.0,3000.0,0.0,8.652022,15.0,6.347978,PASS
EV-3000-008-T01,EV-3000,2922.341,3000.0,77.659,8.830752,15.0,6.169248,PASS
EV-3000-008-T02,EV-3000,3000.0,3000.0,0.0,7.492424,15.0,7.507576,PASS
EV-3000-008-T03,EV-3000,2956.665,3000.0,43.335,7.673379,15.0,7.326621,PASS
EV-3000-008-T04,EV-3000,3000.0,3000.0,0.0,6.842647,15.0,8.157353,PASS
EV-3000-009-T01,EV-3000,3000.0,3000.0,0.0,9.065423,15.0,5.934577,PASS
EV-3000-009-T02,EV-3000,2690.688,3000.0,309.312,7.334324,15.0,7.665676,PASS
EV-3000-009-T03,EV-3000,3000.0,3000.0,0.0,7.294581,15.0,7.705419,PASS
EV-3000-010-T01,EV-3000,3000.0,3000.0,0.0,9.065423,15.0,5.934577,PASS
EV-3000-010-T02,EV-3000,3000.0,3000.0,0.0,11.615065,15.0,3.384935,PASS
EV-3000-010-T03,EV-3000,3000.0,3000.0,0.0,8.20587,15.0,6.79413,PASS
FUEL-3000-001-T01,FUEL-3000,2981.731,3000.0,18.269,8.521315,13.5,4.978685,PASS
FUEL-3000-001-T02,FUEL-3000,3000.0,3000.0,0.0,7.087797,13.5,6.412203,PASS
FUEL-3000-002-T01,FUEL-3000,2651.714,3000.0,348.286,6.629952,13.5,6.870048,PASS
FUEL-3000-002-T02,FUEL-3000,2939.499,3000.0,60.501,7.147135,13.5,6.352865,PASS
FUEL-3000-003-T01,FUEL-3000,2983.442,3000.0,16.558,8.423883,13.5,5.076117,PASS
FUEL-3000-003-T02,FUEL-3000,2849.767,3000.0,150.233,7.030528,13.5,6.469472,PASS
FUEL-3000-003-T03,FUEL-3000,2528.135,3000.0,471.865,5.33839,13.5,8.16161,PASS
FUEL-3000-003-T04,FUEL-3000,2804.296,3000.0,195.704,8.132867,13.5,5.367133,PASS
FUEL-3000-004-T01,FUEL-3000,2866.448,3000.0,133.552,8.6796,13.5,4.8204,PASS
FUEL-3000-004-T02,FUEL-3000,2413.677,3000.0,586.323,7.279662,13.5,6.220338,PASS
FUEL-3000-004-T03,FUEL-3000,3000.0,3000.0,0.0,7.812103,13.5,5.687897,PASS
FUEL-3000-004-T04,FUEL-3000,3000.0,3000.0,0.0,8.700437,13.5,4.799563,PASS
FUEL-3000-005-T01,FUEL-3000,2848.026,3000.0,151.974,10.2151,13.5,3.2849,PASS
FUEL-3000-005-T02,FUEL-3000,3000.0,3000.0,0.0,9.052448,13.5,4.447552,PASS
FUEL-3000-005-T03,FUEL-3000,3000.0,3000.0,0.0,7.528245,13.5,5.971755,PASS
FUEL-3000-005-T04,FUEL-3000,2725.323,3000.0,274.677,7.50056,13.5,5.99944,PASS
FUEL-3000-006-T01,FUEL-3000,3000.0,3000.0,0.0,7.108509,13.5,6.391491,PASS
FUEL-3000-006-T02,FUEL-3000,3000.0,3000.0,0.0,8.440433,13.5,5.059567,PASS
FUEL-3000-006-T03,FUEL-3000,3000.0,3000.0,0.0,7.660308,13.5,5.839692,PASS
FUEL-3000-007-T01,FUEL-3000,3000.0,3000.0,0.0,7.108509,13.5,6.391491,PASS
FUEL-3000-007-T02,FUEL-3000,3000.0,3000.0,0.0,7.401161,13.5,6.098839,PASS
FUEL-3000-007-T03,FUEL-3000,2799.925,3000.0,200.075,8.88909,13.5,4.61091,PASS
FUEL-3000-007-T04,FUEL-3000,3000.0,3000.0,0.0,7.053107,13.5,6.446893,PASS
FUEL-3000-008-T01,FUEL-3000,3000.0,3000.0,0.0,7.878843,13.5,5.621157,PASS
FUEL-3000-008-T02,FUEL-3000,3000.0,3000.0,0.0,9.436114,13.5,4.063886,PASS
FUEL-3000-008-T03,FUEL-3000,2161.961,3000.0,838.039,5.523861,13.5,7.976139,PASS
FUEL-3000-008-T04,FUEL-3000,2918.815,3000.0,81.185,8.92494,13.5,4.57506,PASS
FUEL-3000-009-T01,FUEL-3000,3000.0,3000.0,0.0,7.878843,13.5,5.621157,PASS
FUEL-3000-009-T02,FUEL-3000,3000.0,3000.0,0.0,9.436114,13.5,4.063886,PASS
FUEL-3000-009-T03,FUEL-3000,3000.0,3000.0,0.0,7.677195,13.5,5.822805,PASS
FUEL-3000-009-T04,FUEL-3000,3000.0,3000.0,0.0,8.271821,13.5,5.228179,PASS
FUEL-3000-010-T01,FUEL-3000,3000.0,3000.0,0.0,7.878843,13.5,5.621157,PASS
FUEL-3000-010-T02,FUEL-3000,2786.418,3000.0,213.582,8.08285,13.5,5.41715,PASS
FUEL-3000-010-T03,FUEL-3000,3000.0,3000.0,0.0,7.677195,13.5,5.822805,PASS
FUEL-3000-010-T04,FUEL-3000,3000.0,3000.0,0.0,8.081198,13.5,5.418802,PASS
FUEL-3000-010-T05,FUEL-3000,3000.0,3000.0,0.0,8.260189,13.5,5.239811,PASS
FUEL-3000-011-T01,FUEL-3000,3000.0,3000.0,0.0,9.837781,13.5,3.662219,PASS
FUEL-3000-011-T02,FUEL-3000,3000.0,3000.0,0.0,7.401161,13.5,6.098839,PASS
FUEL-3000-011-T03,FUEL-3000,2964.036,3000.0,35.964,8.030969,13.5,5.469031,PASS
FUEL-3000-012-T01,FUEL-3000,3000.0,3000.0,0.0,7.785846,13.5,5.714154,PASS
FUEL-3000-012-T02,FUEL-3000,2933.964,3000.0,66.036,10.19095,13.5,3.30905,PASS
FUEL-3000-012-T03,FUEL-3000,2691.136,3000.0,308.864,7.9507,13.5,5.5493,PASS
FUEL-3000-013-T01,FUEL-3000,2962.04,3000.0,37.96,8.071461,13.5,5.428539,PASS
FUEL-3000-014-T01,FUEL-3000,2958.32,3000.0,41.68,7.818115,13.5,5.681885,PASS
FUEL-3000-015-T01,FUEL-3000,3000.0,3000.0,0.0,7.634357,13.5,5.865643,PASS
FUEL-3000-015-T02,FUEL-3000,3000.0,3000.0,0.0,7.701108,13.5,5.798892,PASS
FUEL-3000-016-T01,FUEL-3000,3000.0,3000.0,0.0,7.634357,13.5,5.865643,PASS
FUEL-3000-016-T02,FUEL-3000,3000.0,3000.0,0.0,7.701108,13.5,5.798892,PASS
FUEL-3000-017-T01,FUEL-3000,3000.0,3000.0,0.0,9.52428,13.5,3.97572,PASS
