customer_id,x_km,y_km,distance_to_center_km,is_green_customer,is_active_customer,demand_weight_kg,demand_volume_m3,inactive_reason
1,0.745962,6.127447,6.172687,1,0,0.0,0.0,订单数为0且汇总重量、体积需求均为0
2,3.49202,-2.099874,4.07476,1,1,14.89,0.04317,
3,-2.792675,-7.070705,7.60223,1,1,235.018,0.70348,
4,-5.533201,4.968866,7.436797,1,1,1443.562,3.71834,
5,-7.58608,-3.951431,8.553503,1,1,731.601,2.31239,
6,-4.661599,-7.509358,8.838606,1,1,4473.642,11.9832,
7,-8.505089,3.404889,9.161321,1,1,7463.235,18.63924,
8,2.317782,3.18321,3.937632,1,1,11922.341,36.02702,
9,4.21285,7.387074,8.503938,1,1,2649.949,6.65072,
10,-5.871155,-5.56732,8.091077,1,1,3759.985,14.55749,
11,0.521844,-2.38277,2.439245,1,1,1325.53,4.36316,
12,1.217558,-1.348397,1.816762,1,1,1726.842,4.73798,
13,1.951418,8.960834,9.170855,1,1,540.087,1.27918,
14,-0.94366,-8.469552,8.52196,1,0,0.0,0.0,订单数为0且汇总重量、体积需求均为0
15,-1.704211,-3.097748,3.535587,1,0,0.0,0.0,订单数为0且汇总重量、体积需求均为0
