route_id,customer_id,is_green_customer,vehicle_type,propulsion,arrival,arrival_minutes_exact,policy_window,policy_check_result,policy_safe_reason
EV-3000-001-T01,4,1,EV-3000,electric,19:29,1168.79114514,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-001-T01,10,1,EV-3000,electric,20:03,1203.403488478,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-001-T01,5,1,EV-3000,electric,20:27,1226.561028579,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-002-T01,13,1,EV-3000,electric,12:08,728.052329304,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-002-T01,11,1,EV-3000,electric,13:10,790.029960209,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-003-T01,7,1,EV-3000,electric,13:05,784.993046396,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-003-T01,3,1,EV-3000,electric,14:24,864.155618968,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-004-T01,6,1,EV-3000,electric,11:48,707.621229602,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-005-T01,2,1,EV-3000,electric,16:59,1018.788925545,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-006-T01,9,1,EV-3000,electric,10:50,649.779513548,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-007-T01,8,1,EV-3000,electric,11:30,689.978725885,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-008-T01,8,1,EV-3000,electric,11:30,689.978725885,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-009-T01,8,1,EV-3000,electric,11:30,689.978725885,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-010-T01,8,1,EV-3000,electric,11:30,689.978725885,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-006-T02,6,1,EV-3000,electric,13:52,831.828511915,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-007-T02,7,1,EV-3000,electric,14:31,870.915045824,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-008-T02,7,1,EV-3000,electric,14:31,870.915045824,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-009-T02,12,1,EV-3000,electric,15:48,948.418743866,"[08:00,16:00)",PASS,electric_vehicle_exempt
EV-3000-010-T02,10,1,EV-3000,electric,19:55,1194.740640963,"[08:00,16:00)",PASS,electric_vehicle_exempt
