route_id,physical_vehicle_id,trip_number,vehicle_type,propulsion,start,finish,start_minutes_exact,finish_minutes_exact,stops,load_weight_kg,load_volume_m3,distance_km,energy_amount,emissions_kg,fixed_cost,energy_cost,carbon_cost,waiting_cost,late_cost,policy_violation_count,total_cost
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,18:10,21:33,1090.0,1293.38455246,3,2935.148,8.973155,94.236096,36.953345,18.513626,400.0,60.603485,12.033857,0.0,0.588837,0,473.226179
EV-3000-002-T01,EV-3000-002,1,EV-3000,electric,09:40,16:47,580.0,1006.748226544,4,2977.466,8.467152,190.461648,73.975309,37.06163,400.0,121.319507,24.090059,3.132684,0.0,0,548.542251
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,10:10,14:36,610.0,875.785921694,3,2772.246,8.023402,116.682691,44.321929,22.205286,400.0,72.687963,14.433436,0.0,19.604726,0,506.726125
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,09:20,20:25,560.0,1224.86801438,7,2865.872,8.228974,262.245076,104.370611,52.289676,400.0,171.167802,33.988289,27.848058,0.0,0,633.00415
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,09:50,13:10,590.0,789.736503775,2,2984.801,7.3825,70.923811,29.024901,14.541475,400.0,47.600838,9.451959,0.0,0.0,0,457.052797
EV-3000-005-T02,EV-3000-005,2,EV-3000,electric,13:10,14:41,789.736503775,881.405469284,1,2922.341,8.830752,66.054897,26.159873,13.106096,0.0,42.902191,8.518963,0.0,98.809155,0,150.230309
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,10:30,13:23,630.0,802.716788608,1,3000.0,9.065423,66.054897,26.357947,13.205332,400.0,43.227033,8.583466,0.0,0.0,0,451.810499
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,10:30,13:23,630.0,802.716788608,1,3000.0,9.065423,66.054897,26.357947,13.205332,400.0,43.227033,8.583466,0.0,0.0,0,451.810499
EV-3000-008-T01,EV-3000-008,1,EV-3000,electric,10:30,13:23,630.0,802.716788608,1,3000.0,9.065423,66.054897,26.357947,13.205332,400.0,43.227033,8.583466,0.0,0.0,0,451.810499
EV-3000-009-T01,EV-3000-009,1,EV-3000,electric,10:30,14:52,630.0,892.326695142,2,2966.724,8.620091,131.927771,51.389427,25.746103,400.0,84.278661,16.734967,0.0,21.421663,0,522.435291
EV-3000-006-T02,EV-3000-006,2,EV-3000,electric,13:23,15:17,802.716788608,917.02865848,1,3000.0,8.035869,81.276268,32.298651,16.181624,0.0,52.969787,10.518056,0.0,56.507331,0,119.995174
EV-3000-007-T02,EV-3000-007,2,EV-3000,electric,13:23,16:30,802.716788608,990.128973394,1,3000.0,7.492424,124.405454,49.385402,24.742086,0.0,80.992059,16.082356,0.0,18.505154,0,115.579569
EV-3000-008-T02,EV-3000-008,2,EV-3000,electric,13:23,16:30,802.716788608,990.128973394,1,3000.0,7.492424,124.405454,49.385402,24.742086,0.0,80.992059,16.082356,0.0,18.505154,0,115.579569
EV-3000-003-T02,EV-3000-003,2,EV-3000,electric,14:56,19:15,895.785921694,1155.208270354,2,2690.688,7.334324,71.854466,28.624634,14.340942,0.0,46.9444,9.321612,26.301205,1.754863,0,84.32208
