route_id,physical_vehicle_id,trip_number,vehicle_type,propulsion,sequence,customer_id,delivered_weight_kg,delivered_volume_m3,leg_distance_km,arrival,arrival_minutes_exact,service_start,departure,waiting_minutes,late_minutes,is_green_customer,policy_window,policy_check_result,policy_safe_reason,policy_violation_reason
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,1,4,1443.562,3.71834,35.029172,19:29,1168.79114514,19:29,19:49,0.208855,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,2,10,759.985,2.942425,13.275215,20:03,1203.403488478,20:03,20:23,0.0,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,3,5,731.601,2.31239,2.910199,20:27,1226.561028579,20:27,20:47,0.0,0.561029,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-002-T01,EV-3000-002,1,EV-3000,electric,1,60,906.629,2.381062,18.374091,10:35,635.142527932,10:35,10:55,0.0,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-002-T01,EV-3000-002,1,EV-3000,electric,2,13,540.087,1.27918,26.781122,12:08,728.052329304,12:10,12:30,1.947671,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-002-T01,EV-3000-002,1,EV-3000,electric,3,11,1325.53,4.36316,14.14428,13:10,790.029960209,13:10,13:30,0.0,20.02996,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,1,38,1261.733,4.06727,68.59541,11:28,688.144762339,11:28,11:48,0.0,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,2,7,1463.235,3.654392,16.33828,13:05,784.993046396,13:05,13:25,0.0,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,3,97,17.48,0.04201,24.101517,13:51,831.142974558,13:51,14:11,0.0,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,4,3,235.018,0.70348,11.993321,14:24,864.155618968,14:33,14:53,8.844381,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,1,6,1473.642,3.947331,40.638134,11:48,707.621229602,11:48,12:08,0.0,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,2,82,1493.082,4.67276,31.730891,13:25,805.145416564,13:25,13:45,0.0,23.145417,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,1,37,564.949,1.8194,60.807579,10:44,643.702111513,10:44,11:04,0.0,0.702112,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,2,94,9.186,0.01795,30.605281,13:00,780.422632848,13:00,13:20,0.0,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,3,39,1024.891,2.548208,45.44305,14:10,849.727930684,14:10,14:30,0.0,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,4,52,842.093,2.142946,14.965728,14:46,885.965609854,15:05,15:25,19.03439,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,5,26,45.813,0.1362,14.17462,15:49,949.0247796,15:50,16:10,0.97522,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,6,2,14.89,0.04317,28.785466,16:59,1018.788925545,17:53,18:13,54.211074,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,7,34,364.05,1.5211,18.384429,19:12,1151.617825768,19:12,19:32,0.0,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,1,9,2649.949,6.65072,40.429913,10:50,649.779513548,10:50,11:10,0.0,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,2,30,334.852,0.73178,13.986412,11:43,702.589742071,11:43,12:03,0.0,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,1,8,3000.0,9.065423,33.027448,11:30,689.978725885,11:30,11:50,0.0,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-008-T01,EV-3000-008,1,EV-3000,electric,1,8,2922.341,8.830752,33.027448,11:30,689.978725885,11:30,11:50,0.0,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-009-T01,EV-3000-009,1,EV-3000,electric,1,8,3000.0,9.065423,33.027448,11:30,689.978725885,11:30,11:50,0.0,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-010-T01,EV-3000-010,1,EV-3000,electric,1,8,3000.0,9.065423,33.027448,11:30,689.978725885,11:30,11:50,0.0,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-006-T02,EV-3000-006,2,EV-3000,electric,1,6,3000.0,8.035869,40.638134,13:52,831.828511915,13:52,14:12,0.0,52.828512,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-007-T02,EV-3000-007,2,EV-3000,electric,1,7,3000.0,7.492424,62.202727,14:31,870.915045824,14:31,14:51,0.0,22.915046,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-008-T02,EV-3000-008,2,EV-3000,electric,1,7,3000.0,7.492424,62.202727,14:31,870.915045824,14:31,14:51,0.0,22.915046,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-009-T02,EV-3000-009,2,EV-3000,electric,1,12,1726.842,4.73798,34.626419,15:48,948.418743866,15:48,16:08,0.0,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-009-T02,EV-3000-009,2,EV-3000,electric,2,53,963.846,2.596344,16.514424,16:36,996.409293831,17:59,18:19,82.590706,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-010-T02,EV-3000-010,2,EV-3000,electric,1,10,3000.0,11.615065,49.138651,19:55,1194.740640963,19:55,20:15,0.0,0.0,1,"[08:00,16:00)",PASS,electric_vehicle_exempt,
EV-3000-002-T02,EV-3000-002,2,EV-3000,electric,1,24,1262.167,2.95599,47.09128,16:50,1010.105939354,16:51,17:11,0.894061,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-002-T02,EV-3000-002,2,EV-3000,electric,2,80,324.41,1.219165,8.285016,18:02,1081.724590587,18:02,18:22,0.0,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-002-T02,EV-3000-002,2,EV-3000,electric,3,29,873.945,2.04764,12.520931,19:07,1146.802113277,19:07,19:27,0.0,3.802113,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
EV-3000-002-T02,EV-3000-002,2,EV-3000,electric,4,51,539.478,1.487489,22.288685,19:51,1190.985135264,19:51,20:11,0.0,71.985135,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
FUEL-3000-001-T01,FUEL-3000-001,1,FUEL-3000,fuel,1,87,180.291,0.46473,94.301982,11:19,678.602229114,11:19,11:39,0.0,0.0,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
FUEL-3000-001-T01,FUEL-3000-001,1,FUEL-3000,fuel,2,70,2674.649,7.713708,13.340901,13:00,780.049835125,13:00,13:20,0.0,25.049835,0,"[08:00,16:00)",PASS,customer_outside_green_zone,
