metric,label,question1,question2,absolute_change,percent_change
total_cost,总成本/元,43397.262823,45892.972453,2495.70963,5.750846
physical_vehicles,物理车辆/辆,38.0,35.0,-3.0,-7.894737
delivery_trips,配送趟次/趟,98.0,98.0,0.0,0.0
total_distance_km,总里程/km,11490.977909,11490.977909,0.0,0.0
emissions_kg,碳排放/kg,6635.990476,6606.467915,-29.522562,-0.444886
fuel_liters,燃油/L,2291.467731,2278.931538,-12.536193,-0.547081
electricity_kwh,电耗/kWh,1596.052225,1600.85686,4.804635,0.301032
fixed_cost,固定成本/元,15200.0,14000.0,-1200.0,-7.894737
energy_cost,能耗成本/元,20055.595085,19968.074256,-87.520829,-0.436391
carbon_cost,碳成本/元,4313.39381,4294.204145,-19.189665,-0.444886
waiting_cost,等待成本/元,195.449347,116.841256,-78.608092,-40.219163
late_cost,迟到成本/元,3632.824581,7513.852797,3881.028216,106.832249
