physical_vehicles,total_cost,late_cost,emissions_kg,seed,order_rule,vehicle_reuse_weight,departure_step_minutes,cost_gap_to_global_best
34,45796.852894,7581.086156,6674.020449,202602,green_late_hybrid,100.0,5.0,935.332244
35,45656.999006,7287.927189,6602.905733,202603,green_first,99.0,5.0,795.478355
36,45898.693173,6475.863494,6776.748506,202601,green_late_hybrid,94.0,5.0,1037.172523
37,44861.52065,4916.794066,6823.295043,202601,green_late_hybrid,60.0,2.0,0.0
38,45515.019895,5189.924077,6823.935842,202602,green_late_hybrid,70.0,5.0,653.499245
39,46018.327776,5530.89076,6746.883126,202603,green_first,60.0,5.0,1156.807126
40,46227.231724,5355.459285,6742.182519,202603,green_first,50.0,10.0,1365.711074
41,45973.232592,4427.584702,6822.352152,202603,green_late_hybrid,50.0,10.0,1111.711942
42,47863.933851,7167.387524,6452.363478,202602,time_window_first,50.0,10.0,3002.4132
43,46358.773722,3821.54538,6873.660498,202603,green_late_hybrid,25.0,10.0,1497.253072
44,49703.431705,6917.289259,6826.487479,202601,late_risk_first,80.0,10.0,4841.911055
46,48681.219749,6062.564152,6539.9083,202602,time_window_first,25.0,10.0,3819.699099
47,48436.452515,4393.272586,6843.981295,202603,green_first,25.0,10.0,3574.931865
48,49975.15944,5775.056227,6763.787292,202602,late_risk_first,25.0,10.0,5113.63879
50,51479.753612,6392.851498,6804.821354,202601,distance_late,110.0,10.0,6618.232961
52,50834.489477,4834.317326,6822.794719,202603,distance_late,95.0,10.0,5972.968826
53,51140.45636,4727.955134,6826.183849,202603,distance_late,94.0,10.0,6278.93571
54,51422.959493,4610.91006,6826.059656,202603,distance_late,90.0,10.0,6561.438842
55,51787.398398,4713.921833,6786.799787,202603,distance_late,80.0,10.0,6925.877748
56,52116.310971,4648.400025,6785.269859,202603,distance_late,60.0,10.0,7254.790321
57,52222.106894,4308.438339,6801.381792,202601,distance_late,50.0,10.0,7360.586244
58,52365.455154,4102.541372,6793.484928,202602,green_first,0.0,10.0,7503.934504
59,52951.222265,4110.095525,6837.357317,202601,distance_late,25.0,10.0,8089.701615
62,53396.585624,3414.254237,6829.714171,202602,green_late_hybrid,0.0,10.0,8535.064974
66,57414.164759,5663.091483,6870.497642,202601,late_risk_first,0.0,10.0,12552.644109
69,56584.342264,3726.642449,6842.503219,202601,distance_late,0.0,10.0,11722.821613
