seed,order_rule,vehicle_reuse_weight,departure_step_minutes,total_cost,physical_vehicles,delivery_trips,emissions_kg,late_cost,policy_violation_count
202601,green_late_hybrid,60.0,2.0,44861.52065,37,98,6823.295043,4916.794066,0
202603,green_late_hybrid,60.0,2.0,44861.549098,37,98,6823.302866,4916.794066,0
202602,green_late_hybrid,60.0,2.0,44861.549225,37,98,6823.302898,4916.794066,0
202601,green_late_hybrid,60.0,5.0,44892.930669,37,98,6823.696292,4945.633418,0
202603,green_late_hybrid,60.0,5.0,44892.956527,37,98,6823.703402,4945.633418,0
202602,green_late_hybrid,60.0,5.0,44892.956646,37,98,6823.703432,4945.633418,0
202601,green_late_hybrid,60.0,10.0,44928.688867,37,98,6824.033509,4978.933558,0
202603,green_late_hybrid,60.0,10.0,44928.714708,37,98,6824.040615,4978.933558,0
202602,green_late_hybrid,60.0,10.0,44928.714843,37,98,6824.040649,4978.933558,0
202602,green_late_hybrid,70.0,5.0,45515.019895,38,98,6823.935842,5189.924077,0
202601,green_late_hybrid,70.0,5.0,45515.098283,38,98,6823.95739,5189.924077,0
202603,green_late_hybrid,70.0,5.0,45515.104687,38,98,6823.959153,5189.924077,0
202602,green_late_hybrid,70.0,10.0,45563.702881,38,98,6824.872693,5243.333262,0
202601,green_late_hybrid,70.0,10.0,45563.863685,38,98,6824.916897,5243.333262,0
202603,green_late_hybrid,70.0,10.0,45563.870936,38,98,6824.918893,5243.333262,0
202603,green_first,99.0,5.0,45656.999006,35,98,6602.905733,7287.927189,0
202601,green_late_hybrid,95.0,5.0,45662.274036,35,98,6773.260283,6652.133915,0
202602,green_late_hybrid,100.0,5.0,45796.852894,34,98,6674.020449,7581.086156,0
202601,green_late_hybrid,100.0,5.0,45796.878126,34,98,6674.027372,7581.086156,0
202602,green_late_hybrid,100.0,10.0,45881.918961,34,98,6674.498839,7666.412435,0
202601,green_late_hybrid,100.0,10.0,45881.944343,34,98,6674.5058,7666.412435,0
202603,green_late_hybrid,100.0,10.0,45882.101324,34,98,6674.548972,7666.412435,0
202601,green_late_hybrid,95.0,10.0,45885.382662,35,98,6774.637854,6869.590569,0
202602,green_late_hybrid,95.0,10.0,45885.42138,35,98,6774.648497,6869.590569,0
202603,green_late_hybrid,95.0,10.0,45885.715969,35,98,6774.729479,6869.590569,0
202603,green_first,99.0,10.0,45886.480921,35,98,6604.863908,7513.196368,0
202601,green_first,99.0,10.0,45886.588673,35,98,6604.893511,7513.196368,0
202602,green_first,99.0,10.0,45886.619717,35,98,6604.902061,7513.196368,0
202601,green_first,94.0,10.0,45892.268831,34,98,6677.164362,7661.665856,0
202601,green_first,95.0,10.0,45892.268831,34,98,6677.164362,7661.665856,0
202603,green_first,94.0,10.0,45892.412494,34,98,6677.203856,7661.665856,0
202603,green_first,95.0,10.0,45892.412494,34,98,6677.203856,7661.665856,0
202602,green_first,94.0,10.0,45892.42537,34,98,6677.207393,7661.665856,0
202602,green_first,95.0,10.0,45892.42537,34,98,6677.207393,7661.665856,0
202601,green_late_hybrid,94.0,5.0,45898.693173,36,98,6776.748506,6475.863494,0
202603,green_late_hybrid,50.0,10.0,45973.232592,41,98,6822.352152,4427.584702,0
202601,green_late_hybrid,50.0,10.0,45973.232727,41,98,6822.352187,4427.584702,0
202602,green_late_hybrid,50.0,10.0,45973.232727,41,98,6822.352187,4427.584702,0
202603,green_first,60.0,5.0,46018.327776,39,98,6746.883126,5530.89076,0
202602,green_late_hybrid,99.0,10.0,46029.301963,35,98,6726.965059,7227.947241,0
202601,green_late_hybrid,99.0,10.0,46029.443517,35,98,6727.003954,7227.947241,0
202603,green_late_hybrid,99.0,10.0,46029.462346,35,98,6727.009097,7227.947241,0
202603,green_first,60.0,10.0,46033.555548,39,98,6747.257791,5544.590172,0
202601,green_first,60.0,10.0,46033.555683,39,98,6747.257825,5544.590172,0
202602,green_first,60.0,10.0,46033.555683,39,98,6747.257825,5544.590172,0
202601,green_late_hybrid,94.0,10.0,46121.801799,36,98,6778.126077,6693.320148,0
202602,green_late_hybrid,94.0,10.0,46121.840517,36,98,6778.13672,6693.320148,0
202603,green_late_hybrid,94.0,10.0,46122.135106,36,98,6778.217702,6693.320148,0
202601,green_late_hybrid,80.0,10.0,46188.485521,38,98,6821.003417,5850.617401,0
202603,green_late_hybrid,80.0,10.0,46188.502581,38,98,6821.008109,5850.617401,0
202602,green_late_hybrid,80.0,10.0,46188.502717,38,98,6821.008144,5850.617401,0
202603,green_first,50.0,10.0,46227.231724,40,98,6742.182519,5355.459285,0
202601,green_first,50.0,10.0,46227.231859,40,98,6742.182554,5355.459285,0
202602,green_first,50.0,10.0,46227.231859,40,98,6742.182554,5355.459285,0
202601,green_first,90.0,10.0,46245.37635,36,98,6683.084851,7193.235647,0
202602,green_first,90.0,10.0,46245.532889,36,98,6683.127882,7193.235647,0
202603,green_first,90.0,10.0,46245.827478,36,98,6683.208864,7193.235647,0
202603,green_late_hybrid,25.0,10.0,46358.773722,43,98,6873.660498,3821.54538,0
202601,green_late_hybrid,25.0,10.0,46359.483268,43,98,6873.861113,3821.54538,0
202602,green_late_hybrid,25.0,10.0,46359.604606,43,98,6873.894468,3821.54538,0
202602,green_first,70.0,10.0,46392.543367,39,98,6744.287006,5922.214637,0
202603,green_first,70.0,10.0,46392.850414,39,98,6744.371413,5922.214637,0
202601,green_first,70.0,10.0,46392.850549,39,98,6744.371447,5922.214637,0
202601,green_late_hybrid,90.0,10.0,46434.883719,38,98,6794.634581,6190.615513,0
202603,green_late_hybrid,90.0,10.0,46434.90078,38,98,6794.639273,6190.615513,0
202602,green_late_hybrid,90.0,10.0,46434.900915,38,98,6794.639308,6190.615513,0
202602,green_first,100.0,10.0,46711.488916,35,98,6669.257625,8110.529089,0
202601,green_first,100.0,10.0,46711.509995,35,98,6669.263404,8110.529089,0
202603,green_first,100.0,10.0,46711.666976,35,98,6669.306575,8110.529089,0
202601,green_first,80.0,10.0,46986.142157,39,98,6742.431778,6522.895425,0
202603,green_first,80.0,10.0,46986.18391,39,98,6742.443258,6522.895425,0
202602,green_first,80.0,10.0,46986.184045,39,98,6742.443293,6522.895425,0
202602,green_late_hybrid,110.0,10.0,47036.014674,35,98,6795.720441,7933.309395,0
202603,green_late_hybrid,110.0,10.0,47036.172607,35,98,6795.763855,7933.309395,0
202601,green_late_hybrid,110.0,10.0,47037.980094,35,98,6796.273856,7933.309395,0
202603,time_window_first,80.0,5.0,47367.734903,39,98,6454.284687,7901.359446,0
202603,time_window_first,80.0,10.0,47378.133689,39,98,6454.370567,7912.022926,0
202602,time_window_first,80.0,10.0,47378.1337,39,98,6454.37057,7912.022926,0
202601,time_window_first,80.0,10.0,47378.184994,39,98,6454.38467,7912.022926,0
202602,green_late_hybrid,125.0,10.0,47490.118009,35,98,6790.189061,8407.534942,0
202603,green_late_hybrid,125.0,10.0,47490.471707,35,98,6790.286289,8407.534942,0
202601,green_late_hybrid,125.0,10.0,47492.241363,35,98,6790.785891,8407.534942,0
202602,time_window_first,70.0,10.0,47662.002538,39,98,6522.141981,7920.555742,0
202601,time_window_first,70.0,10.0,47662.144752,39,98,6522.181074,7920.555742,0
202603,time_window_first,70.0,10.0,47662.170718,39,98,6522.188212,7920.555742,0
202603,time_window_first,90.0,10.0,47811.344797,39,98,6390.143695,8572.884148,0
202602,time_window_first,90.0,10.0,47811.344809,39,98,6390.143698,8572.884148,0
202601,time_window_first,90.0,10.0,47811.396102,39,98,6390.157798,8572.884148,0
202602,green_first,110.0,10.0,47840.60022,37,98,6686.83621,8349.300761,0
202603,green_first,110.0,10.0,47840.857719,37,98,6686.906994,8349.300761,0
202601,green_first,110.0,10.0,47840.858536,37,98,6686.907202,8349.300761,0
202602,time_window_first,50.0,10.0,47863.933851,42,98,6452.363478,7167.387524,0
202601,time_window_first,50.0,10.0,47864.076065,42,98,6452.402571,7167.387524,0
202603,time_window_first,50.0,10.0,47864.102042,42,98,6452.409711,7167.387524,0
202602,time_window_first,60.0,10.0,47929.468924,40,98,6525.795084,7774.732763,0
202601,time_window_first,60.0,10.0,47929.611138,40,98,6525.834177,7774.732763,0
202603,time_window_first,60.0,10.0,47929.637104,40,98,6525.841315,7774.732763,0
202601,time_window_first,94.0,10.0,48059.673235,39,98,6389.021111,8825.296354,0
202601,time_window_first,95.0,10.0,48059.673235,39,98,6389.021111,8825.296354,0
202601,time_window_first,99.0,10.0,48059.673235,39,98,6389.021111,8825.296354,0
202601,time_window_first,100.0,10.0,48059.673235,39,98,6389.021111,8825.296354,0
202602,time_window_first,94.0,10.0,48059.673235,39,98,6389.021111,8825.296354,0
202602,time_window_first,95.0,10.0,48059.673235,39,98,6389.021111,8825.296354,0
202602,time_window_first,99.0,10.0,48059.673235,39,98,6389.021111,8825.296354,0
202602,time_window_first,100.0,10.0,48059.673235,39,98,6389.021111,8825.296354,0
202603,time_window_first,94.0,10.0,48059.980689,39,98,6389.105627,8825.296354,0
202603,time_window_first,95.0,10.0,48059.980689,39,98,6389.105627,8825.296354,0
202603,time_window_first,99.0,10.0,48059.980689,39,98,6389.105627,8825.296354,0
202603,time_window_first,100.0,10.0,48059.980689,39,98,6389.105627,8825.296354,0
202602,time_window_first,110.0,10.0,48142.9387,36,98,6356.496887,10224.975933,0
202603,time_window_first,110.0,10.0,48143.354121,36,98,6356.611082,10224.975933,0
202601,time_window_first,110.0,10.0,48145.169838,36,98,6357.123361,10224.975933,0
202602,green_first,125.0,10.0,48343.937386,36,98,6664.873668,9330.991806,0
202603,green_first,125.0,10.0,48343.937386,36,98,6664.873668,9330.991806,0
202601,green_first,125.0,10.0,48343.938203,36,98,6664.873876,9330.991806,0
202603,green_first,25.0,10.0,48436.452515,47,98,6843.981295,4393.272586,0
202601,green_first,25.0,10.0,48437.277906,47,98,6844.213755,4393.272586,0
202602,green_first,25.0,10.0,48437.303883,47,98,6844.220896,4393.272586,0
202603,late_risk_first,50.0,5.0,48484.02625,43,98,6755.984887,6325.727896,0
202603,late_risk_first,50.0,10.0,48586.013428,43,98,6755.884181,6426.067892,0
202602,late_risk_first,50.0,10.0,48586.698535,43,98,6756.07804,6426.067892,0
202601,late_risk_first,50.0,10.0,48586.874223,43,98,6756.126393,6426.067892,0
202602,green_late_hybrid,150.0,10.0,48606.490665,35,98,6773.509532,9583.658621,0
202603,green_late_hybrid,150.0,10.0,48606.490665,35,98,6773.509532,9583.658621,0
202601,green_late_hybrid,150.0,10.0,48608.686816,35,98,6774.126373,9583.658621,0
202602,time_window_first,25.0,10.0,48681.219749,46,98,6539.9083,6062.564152,0
202601,time_window_first,25.0,10.0,48681.238441,46,98,6539.913438,6062.564152,0
202603,time_window_first,25.0,10.0,48681.264418,46,98,6539.920579,6062.564152,0
202601,late_risk_first,99.0,10.0,48723.377484,38,98,6771.202724,8534.393016,0
202601,late_risk_first,100.0,10.0,48723.377484,38,98,6771.202724,8534.393016,0
202602,late_risk_first,99.0,10.0,48723.380404,38,98,6771.203469,8534.393016,0
202602,late_risk_first,100.0,10.0,48723.380404,38,98,6771.203469,8534.393016,0
202603,late_risk_first,99.0,10.0,48723.538722,38,98,6771.246981,8534.393016,0
202603,late_risk_first,100.0,10.0,48723.538722,38,98,6771.246981,8534.393016,0
202601,late_risk_first,110.0,10.0,48734.050802,36,98,6758.791871,9390.028279,0
202602,late_risk_first,110.0,10.0,48734.053722,36,98,6758.792615,9390.028279,0
202603,late_risk_first,110.0,10.0,48734.105685,36,98,6758.806891,9390.028279,0
202602,late_risk_first,60.0,10.0,48734.372199,42,98,6817.989872,6755.616949,0
202601,late_risk_first,60.0,10.0,48734.511493,42,98,6818.028221,6755.616949,0
202603,late_risk_first,60.0,10.0,48734.540774,42,98,6818.036204,6755.616949,0
202601,late_risk_first,70.0,10.0,48788.771778,42,98,6818.281161,6808.957082,0
202602,late_risk_first,70.0,10.0,48788.925731,42,98,6818.323422,6808.957082,0
202603,late_risk_first,70.0,10.0,48789.094306,42,98,6818.369754,6808.957082,0
202602,time_window_first,125.0,10.0,48797.596515,36,98,6322.97088,10998.924032,0
202601,time_window_first,125.0,10.0,48797.647808,36,98,6322.98498,10998.924032,0
202603,time_window_first,125.0,10.0,48797.854002,36,98,6323.04166,10998.924032,0
202601,late_risk_first,90.0,10.0,48800.288413,40,98,6820.871941,7635.006495,0
202602,late_risk_first,90.0,10.0,48800.291333,40,98,6820.872685,7635.006495,0
202603,late_risk_first,90.0,10.0,48800.291718,40,98,6820.872783,7635.006495,0
202602,green_late_hybrid,175.0,10.0,49056.342904,35,98,6799.673721,9941.066652,0
202603,green_late_hybrid,175.0,10.0,49056.342904,35,98,6799.673721,9941.066652,0
202601,green_late_hybrid,175.0,10.0,49056.343141,35,98,6799.67377,9941.066652,0
202601,late_risk_first,95.0,10.0,49144.502994,40,98,6820.765021,7979.61003,0
202602,late_risk_first,95.0,10.0,49144.505914,40,98,6820.765766,7979.61003,0
202603,late_risk_first,95.0,10.0,49144.813764,40,98,6820.850383,7979.61003,0
202601,late_risk_first,94.0,10.0,49334.751597,41,98,6823.601605,7759.539627,0
202602,late_risk_first,94.0,10.0,49334.754517,41,98,6823.602349,7759.539627,0
202603,late_risk_first,94.0,10.0,49335.062367,41,98,6823.686966,7759.539627,0
202602,green_first,150.0,10.0,49524.292276,36,98,6631.270696,10659.179313,0
202603,green_first,150.0,10.0,49524.292276,36,98,6631.270696,10659.179313,0
202601,green_first,150.0,10.0,49526.488427,36,98,6631.887537,10659.179313,0
202602,late_risk_first,125.0,10.0,49612.938109,36,98,6741.24774,10331.685248,0
202603,late_risk_first,125.0,10.0,49613.145615,36,98,6741.304781,10331.685248,0
202601,late_risk_first,125.0,10.0,49615.164606,36,98,6741.872997,10331.685248,0
202603,time_window_first,150.0,10.0,49644.475345,36,98,6360.999791,11711.34897,0
202602,time_window_first,150.0,10.0,49644.475357,36,98,6360.999794,11711.34897,0
202601,time_window_first,150.0,10.0,49646.235205,36,98,6361.494865,11711.34897,0
202601,late_risk_first,80.0,10.0,49703.431705,44,98,6826.487479,6917.289259,0
202602,late_risk_first,80.0,10.0,49703.434625,44,98,6826.488223,6917.289259,0
202603,late_risk_first,80.0,10.0,49703.43501,44,98,6826.488322,6917.289259,0
202601,distance_late,175.0,5.0,49884.9725,42,98,6785.962066,8010.056092,0
202602,late_risk_first,25.0,10.0,49975.15944,48,98,6763.787292,5775.056227,0
202601,late_risk_first,25.0,10.0,49975.190771,48,98,6763.795963,5775.056227,0
202603,late_risk_first,25.0,10.0,49975.204778,48,98,6763.799755,5775.056227,0
202601,distance_late,175.0,10.0,50042.387053,42,98,6787.180799,8183.601014,0
202602,distance_late,175.0,10.0,50042.46646,42,98,6787.202627,8183.601014,0
202603,distance_late,175.0,10.0,50042.46646,42,98,6787.202627,8183.601014,0
202601,green_first,175.0,10.0,50225.870304,36,98,6636.244926,11332.347977,0
202602,green_first,175.0,10.0,50225.971895,36,98,6636.272868,11332.347977,0
202603,green_first,175.0,10.0,50225.971895,36,98,6636.272868,11332.347977,0
202601,distance_late,150.0,10.0,50229.715328,44,98,6790.386107,7596.534041,0
202602,distance_late,150.0,10.0,50229.785925,44,98,6790.405513,7596.534041,0
202603,distance_late,150.0,10.0,50229.785925,44,98,6790.405513,7596.534041,0
202603,time_window_first,175.0,10.0,50239.279653,36,98,6377.396775,12248.069156,0
202602,time_window_first,175.0,10.0,50242.650062,36,98,6378.345516,12248.069156,0
202601,time_window_first,175.0,10.0,50246.542518,36,98,6379.439961,12248.069156,0
202601,distance_late,200.0,10.0,50567.613078,41,98,6715.14714,9365.099477,0
202602,distance_late,200.0,10.0,50567.645484,41,98,6715.156048,9365.099477,0
202603,distance_late,200.0,10.0,50567.645484,41,98,6715.156048,9365.099477,0
202601,green_late_hybrid,200.0,10.0,50639.312504,36,98,6729.175021,11403.284681,0
202602,green_late_hybrid,200.0,10.0,50641.020793,36,98,6729.655925,11403.284681,0
202603,green_late_hybrid,200.0,10.0,50641.023351,36,98,6729.656576,11403.284681,0
202601,distance_late,125.0,10.0,50666.575822,47,98,6799.444582,6799.233483,0
202602,distance_late,125.0,10.0,50666.741097,47,98,6799.490014,6799.233483,0
202603,distance_late,125.0,10.0,50666.741097,47,98,6799.490014,6799.233483,0
202603,distance_late,95.0,10.0,50834.489477,52,98,6822.794719,4834.317326,0
202601,distance_late,95.0,10.0,50835.343159,52,98,6823.03491,4834.317326,0
202602,distance_late,95.0,10.0,50835.343159,52,98,6823.03491,4834.317326,0
202601,late_risk_first,150.0,10.0,50840.832875,35,98,6717.628548,12044.155254,0
202602,late_risk_first,150.0,10.0,50841.507902,35,98,6717.818131,12044.155254,0
202603,late_risk_first,150.0,10.0,50841.507902,35,98,6717.818131,12044.155254,0
202603,distance_late,99.0,10.0,50943.396184,52,98,6820.701286,4988.18606,0
202603,distance_late,100.0,10.0,50943.396184,52,98,6820.701286,4988.18606,0
202601,distance_late,99.0,10.0,50944.249867,52,98,6820.941478,4988.18606,0
202601,distance_late,100.0,10.0,50944.249867,52,98,6820.941478,4988.18606,0
202602,distance_late,99.0,10.0,50944.249867,52,98,6820.941478,4988.18606,0
202602,distance_late,100.0,10.0,50944.249867,52,98,6820.941478,4988.18606,0
202603,time_window_first,200.0,10.0,51126.403111,37,98,6415.028123,12590.973234,0
202602,time_window_first,200.0,10.0,51129.77154,37,98,6415.976359,12590.973234,0
202601,time_window_first,200.0,10.0,51131.530571,37,98,6416.471222,12590.973234,0
202603,distance_late,94.0,10.0,51140.45636,53,98,6826.183849,4727.955134,0
202601,distance_late,94.0,10.0,51141.310043,53,98,6826.42404,4727.955134,0
202602,distance_late,94.0,10.0,51141.310043,53,98,6826.42404,4727.955134,0
202601,late_risk_first,175.0,10.0,51156.659675,36,98,6718.043196,11958.37817,0
202602,green_first,200.0,10.0,51307.845722,37,98,6643.15418,12040.238085,0
202603,green_first,200.0,10.0,51307.848058,37,98,6643.154776,12040.238085,0
202601,green_first,200.0,10.0,51309.834186,37,98,6643.713941,12040.238085,0
202603,distance_late,90.0,10.0,51422.959493,54,98,6826.059656,4610.91006,0
202601,distance_late,90.0,10.0,51423.813175,54,98,6826.299847,4610.91006,0
202602,distance_late,90.0,10.0,51423.813175,54,98,6826.299847,4610.91006,0
202601,distance_late,110.0,10.0,51479.753612,50,98,6804.821354,6392.851498,0
202602,distance_late,110.0,10.0,51479.81092,50,98,6804.837107,6392.851498,0
202603,distance_late,110.0,10.0,51479.81092,50,98,6804.837107,6392.851498,0
202602,late_risk_first,175.0,10.0,51745.350451,36,98,6726.790581,12516.041055,0
202603,late_risk_first,175.0,10.0,51745.350451,36,98,6726.790581,12516.041055,0
202603,distance_late,80.0,10.0,51787.398398,55,98,6786.799787,4713.921833,0
202601,distance_late,80.0,10.0,51788.252081,55,98,6787.039978,4713.921833,0
202602,distance_late,80.0,10.0,51788.252081,55,98,6787.039978,4713.921833,0
202603,distance_late,60.0,10.0,52116.310971,56,98,6785.269859,4648.400025,0
202603,distance_late,70.0,10.0,52116.310971,56,98,6785.269859,4648.400025,0
202601,distance_late,60.0,10.0,52117.164654,56,98,6785.51005,4648.400025,0
202601,distance_late,70.0,10.0,52117.164654,56,98,6785.51005,4648.400025,0
202602,distance_late,60.0,10.0,52117.164654,56,98,6785.51005,4648.400025,0
202602,distance_late,70.0,10.0,52117.164654,56,98,6785.51005,4648.400025,0
202601,distance_late,50.0,10.0,52222.106894,57,98,6801.381792,4308.438339,0
202602,distance_late,50.0,10.0,52222.106894,57,98,6801.381792,4308.438339,0
202603,distance_late,50.0,10.0,52222.106894,57,98,6801.381792,4308.438339,0
202602,green_first,0.0,10.0,52365.455154,58,98,6793.484928,4102.541372,0
202603,green_first,0.0,10.0,52365.455154,58,98,6793.484928,4102.541372,0
202601,green_first,0.0,10.0,52365.457477,58,98,6793.485567,4102.541372,0
202601,distance_late,25.0,10.0,52951.222265,59,98,6837.357317,4110.095525,0
202602,distance_late,25.0,10.0,52951.222265,59,98,6837.357317,4110.095525,0
202603,distance_late,25.0,10.0,52951.222265,59,98,6837.357317,4110.095525,0
202603,late_risk_first,200.0,10.0,53038.67907,38,98,6718.148233,13028.726182,0
202601,late_risk_first,200.0,10.0,53039.294322,38,98,6718.321433,13028.726182,0
202602,late_risk_first,200.0,10.0,53042.047418,38,98,6719.096449,13028.726182,0
202603,time_window_first,0.0,10.0,53174.596459,59,98,6409.201196,5821.826339,0
202601,time_window_first,0.0,10.0,53174.599152,59,98,6409.201882,5821.826339,0
202602,time_window_first,0.0,10.0,53174.599152,59,98,6409.201882,5821.826339,0
202602,green_late_hybrid,0.0,10.0,53396.585624,62,98,6829.714171,3414.254237,0
202603,green_late_hybrid,0.0,10.0,53396.585624,62,98,6829.714171,3414.254237,0
202601,green_late_hybrid,0.0,10.0,53396.585795,62,98,6829.714218,3414.254237,0
202601,distance_late,0.0,10.0,56584.342264,69,98,6842.503219,3726.642449,0
202602,distance_late,0.0,10.0,56584.342264,69,98,6842.503219,3726.642449,0
202603,distance_late,0.0,10.0,56584.342264,69,98,6842.503219,3726.642449,0
202601,late_risk_first,0.0,10.0,57414.164759,66,98,6870.497642,5663.091483,0
202602,late_risk_first,0.0,10.0,57414.783866,66,98,6870.671825,5663.091483,0
202603,late_risk_first,0.0,10.0,57414.783866,66,98,6870.671825,5663.091483,0
