route_id,physical_vehicle_id,trip_number,vehicle_type,propulsion,start,finish,stops,load_weight_kg,load_volume_m3,distance_km,energy_amount,emissions_kg,fixed_cost,energy_cost,carbon_cost,waiting_cost,late_cost,policy_violation_count,total_cost
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,13:00,16:48,3,3000.0,7.95129,128.957378,52.894522,26.500156,400.0,86.75,17.23,0.0,0.0,0,503.97
EV-3000-002-T01,EV-3000-002,1,EV-3000,electric,10:00,15:17,3,3000.0,8.135763,148.240237,59.100976,29.609589,400.0,96.93,19.25,0.0,1.32,0,517.5
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,10:30,14:43,2,3000.0,7.759372,122.957451,47.749955,23.922727,400.0,78.31,15.55,0.0,0.0,0,493.86
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,13:00,15:55,1,3000.0,7.492424,124.405454,49.414484,24.756657,400.0,81.04,16.09,0.0,0.0,0,497.13
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,10:30,14:00,2,3000.0,9.18083,97.492438,37.076253,18.575203,400.0,60.81,12.07,0.0,0.0,0,472.88
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,19:00,21:23,2,1250.0,4.319469,95.070359,34.349737,17.209218,400.0,56.33,11.19,0.0,0.0,0,467.52
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,19:00,21:07,1,1250.0,4.83961,98.277301,35.677103,17.874228,400.0,58.51,11.62,0.0,0.0,0,470.13
EV-3000-008-T01,EV-3000-008,1,EV-3000,electric,19:00,21:07,1,1250.0,4.83961,98.277301,35.677103,17.874228,400.0,58.51,11.62,0.0,0.0,0,470.13
EV-3000-009-T01,EV-3000-009,1,EV-3000,electric,19:00,21:07,1,36.682,0.142021,98.277301,33.323598,16.695123,400.0,54.65,10.85,0.0,0.0,0,465.5
EV-3000-010-T01,EV-3000-010,1,EV-3000,electric,19:00,21:26,2,1250.0,4.133232,97.443038,35.068013,17.569075,400.0,57.51,11.42,0.0,0.0,0,468.93
EV-3000-005-T02,EV-3000-005,2,EV-3000,electric,14:00,16:13,1,3000.0,8.035869,81.276268,32.256159,16.160336,0.0,52.9,10.5,0.0,87.89,0,151.29
EV-3000-003-T02,EV-3000-003,2,EV-3000,electric,14:43,18:35,2,3000.0,7.708507,78.772938,31.640604,15.851943,0.0,51.89,10.3,0.0,427.23,0,489.43
EV-1250-001-T01,EV-1250-001,1,EV-1250,electric,14:50,20:27,3,1250.0,3.281105,88.220347,35.607885,17.83955,400.0,58.4,11.6,41.71,0.0,0,511.7
EV-3000-002-T02,EV-3000-002,2,EV-3000,electric,15:17,18:44,1,3000.0,9.065423,66.054897,26.400571,13.226686,0.0,43.3,8.6,0.0,221.57,0,273.46
EV-3000-004-T02,EV-3000-004,2,EV-3000,electric,15:55,19:16,1,3000.0,9.065423,66.054897,26.433782,13.243325,0.0,43.35,8.61,0.0,253.02,0,304.98
EV-3000-005-T03,EV-3000-005,3,EV-3000,electric,16:13,19:24,1,3000.0,9.065423,66.054897,26.449247,13.251073,0.0,43.38,8.61,0.0,288.89,0,340.88
FUEL-3000-001-T01,FUEL-3000-001,1,FUEL-3000,fuel,16:00,22:29,2,1500.0,4.178319,210.373996,61.464087,156.549029,400.0,467.74,101.76,0.0,0.0,0,969.5
FUEL-3000-002-T01,FUEL-3000-002,1,FUEL-3000,fuel,08:50,15:14,1,3000.0,8.652022,240.481206,74.15046,188.861222,400.0,564.29,122.76,0.0,0.0,0,1087.04
FUEL-3000-003-T01,FUEL-3000-003,1,FUEL-3000,fuel,08:50,16:55,2,3000.0,8.522635,220.304791,69.42385,176.822546,400.0,528.32,114.93,22.03,0.0,0,1065.28
FUEL-3000-002-T02,FUEL-3000-002,2,FUEL-3000,fuel,15:14,21:47,2,1500.0,3.747397,214.541286,60.031684,152.900699,0.0,456.84,99.39,0.0,0.0,0,556.23
FUEL-3000-004-T01,FUEL-3000-004,1,FUEL-3000,fuel,14:40,22:10,3,1500.0,3.948882,228.472799,65.67117,167.26447,400.0,499.76,108.72,0.0,0.0,0,1008.48
FUEL-3000-005-T01,FUEL-3000-005,1,FUEL-3000,fuel,13:00,20:03,3,3000.0,7.612646,219.18045,68.83804,175.330489,400.0,523.86,113.96,0.0,0.22,0,1038.04
FUEL-3000-006-T01,FUEL-3000-006,1,FUEL-3000,fuel,08:10,16:33,3,3000.0,7.274745,197.219421,62.75396,159.834336,400.0,477.56,103.89,32.63,14.5,0,1028.57
FUEL-3000-007-T01,FUEL-3000-007,1,FUEL-3000,fuel,14:20,20:34,1,1500.0,4.081605,208.532958,59.158937,150.677812,400.0,450.2,97.94,0.0,0.0,0,948.14
FUEL-3000-008-T01,FUEL-3000-008,1,FUEL-3000,fuel,14:00,20:07,2,1500.0,4.407043,186.361072,54.949481,139.956329,400.0,418.17,90.97,0.0,0.0,0,909.14
FUEL-3000-009-T01,FUEL-3000-009,1,FUEL-3000,fuel,13:10,19:17,1,3000.0,7.458962,194.169364,60.061979,152.97786,400.0,457.07,99.44,0.0,0.0,0,956.51
FUEL-3000-010-T01,FUEL-3000-010,1,FUEL-3000,fuel,13:50,20:32,4,3000.0,7.938257,207.696084,63.429409,161.554705,400.0,482.7,105.01,0.0,0.0,0,987.71
FUEL-3000-011-T01,FUEL-3000-011,1,FUEL-3000,fuel,14:40,20:34,1,1500.0,3.905402,192.210952,54.663142,139.227024,400.0,415.99,90.5,0.0,0.0,0,906.48
FUEL-3000-012-T01,FUEL-3000-012,1,FUEL-3000,fuel,14:40,20:34,1,1500.0,3.905402,192.210952,54.663142,139.227024,400.0,415.99,90.5,0.0,0.0,0,906.48
FUEL-3000-013-T01,FUEL-3000-013,1,FUEL-3000,fuel,14:40,20:34,1,1500.0,3.905402,192.210952,54.663142,139.227024,400.0,415.99,90.5,0.0,0.0,0,906.48
FUEL-3000-014-T01,FUEL-3000-014,1,FUEL-3000,fuel,14:40,20:34,1,1500.0,3.905402,192.210952,54.663142,139.227024,400.0,415.99,90.5,0.0,0.0,0,906.48
FUEL-3000-015-T01,FUEL-3000-015,1,FUEL-3000,fuel,14:40,20:50,2,1500.0,3.621808,188.781198,54.424846,138.620082,400.0,414.17,90.1,0.0,0.0,0,904.28
FUEL-3000-016-T01,FUEL-3000-016,1,FUEL-3000,fuel,08:50,14:05,3,3000.0,9.498895,166.175398,50.730249,129.209945,400.0,386.06,83.99,0.0,0.0,0,870.04
FUEL-3000-017-T01,FUEL-3000-017,1,FUEL-3000,fuel,10:10,15:59,3,3000.0,9.338766,167.338571,49.437603,125.917574,400.0,376.22,81.85,0.0,0.0,0,858.07
FUEL-3000-018-T01,FUEL-3000-018,1,FUEL-3000,fuel,13:30,19:18,1,3000.0,7.634357,178.175546,55.210014,140.619906,400.0,420.15,91.4,0.0,0.0,0,911.55
FUEL-3000-016-T02,FUEL-3000-016,2,FUEL-3000,fuel,14:15,20:22,2,1500.0,3.707933,192.494473,55.569706,141.536041,0.0,422.89,92.0,0.0,0.0,0,514.88
FUEL-3000-019-T01,FUEL-3000-019,1,FUEL-3000,fuel,09:10,14:21,2,3000.0,8.578563,173.543991,52.964537,134.900675,400.0,403.06,87.69,0.0,0.0,0,890.75
FUEL-3000-020-T01,FUEL-3000-020,1,FUEL-3000,fuel,09:30,14:18,1,3000.0,7.785846,164.154553,50.709588,129.157321,400.0,385.9,83.95,0.0,0.0,0,869.85
FUEL-3000-021-T01,FUEL-3000-021,1,FUEL-3000,fuel,09:30,14:18,1,3000.0,7.785846,164.154553,50.709588,129.157321,400.0,385.9,83.95,0.0,0.0,0,869.85
FUEL-3000-022-T01,FUEL-3000-022,1,FUEL-3000,fuel,09:40,15:05,2,3000.0,7.494099,178.205583,55.847986,142.24482,400.0,425.0,92.46,0.0,0.0,0,917.46
FUEL-3000-023-T01,FUEL-3000-023,1,FUEL-3000,fuel,13:00,17:05,2,3000.0,7.523143,145.308654,43.71006,111.329523,400.0,332.63,72.36,0.0,0.0,0,805.0
FUEL-3000-024-T01,FUEL-3000-024,1,FUEL-3000,fuel,13:20,19:08,2,3000.0,8.842149,159.317758,48.501215,123.532594,400.0,369.09,80.3,0.0,0.0,0,849.39
FUEL-3000-025-T01,FUEL-3000-025,1,FUEL-3000,fuel,13:00,18:32,2,3000.0,7.581489,166.240846,51.446928,131.035327,400.0,391.51,85.17,0.0,0.0,0,876.68
FUEL-3000-020-T02,FUEL-3000-020,2,FUEL-3000,fuel,15:58,21:01,2,1500.0,4.496809,138.757687,39.040255,99.435531,0.0,297.1,64.63,0.0,0.0,0,361.73
FUEL-3000-021-T02,FUEL-3000-021,2,FUEL-3000,fuel,15:38,21:01,2,1500.0,4.772127,151.003462,43.176043,109.969382,0.0,328.57,71.48,0.0,0.0,0,400.05
FUEL-3000-026-T01,FUEL-3000-026,1,FUEL-3000,fuel,19:00,22:03,2,1500.0,4.423512,131.999369,35.884264,91.39722,400.0,273.08,59.41,0.0,0.0,0,732.49
FUEL-3000-027-T01,FUEL-3000-027,1,FUEL-3000,fuel,19:00,22:31,2,1500.0,4.841831,157.940907,43.747653,111.425273,400.0,332.92,72.43,0.0,0.0,0,805.35
FUEL-3000-028-T01,FUEL-3000-028,1,FUEL-3000,fuel,10:20,16:27,2,3000.0,8.60218,180.887698,53.239389,135.600723,400.0,405.15,88.14,0.0,0.0,0,893.29
FUEL-3000-029-T01,FUEL-3000-029,1,FUEL-3000,fuel,10:40,17:38,4,3000.0,8.232744,164.697166,51.672581,131.610063,400.0,393.23,85.55,0.0,0.0,0,878.77
FUEL-3000-019-T02,FUEL-3000-019,2,FUEL-3000,fuel,18:41,22:33,2,1500.0,3.902794,162.704749,44.89726,114.353322,0.0,341.67,74.33,0.0,0.0,0,416.0
FUEL-3000-030-T01,FUEL-3000-030,1,FUEL-3000,fuel,17:40,22:34,2,1500.0,3.727462,173.147105,48.759075,124.189364,400.0,371.06,80.72,0.0,0.0,0,851.78
FUEL-3000-031-T01,FUEL-3000-031,1,FUEL-3000,fuel,18:30,22:35,2,1500.0,4.126488,165.913789,46.988504,119.67972,400.0,357.58,77.79,0.0,0.18,0,835.55
