route_id,physical_vehicle_id,trip_number,vehicle_type,propulsion,sequence,customer_id,delivered_weight_kg,delivered_volume_m3,arrival,service_start,departure,late_minutes,policy_violation_reason
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,1,7,1374.784,3.433488,14:07,14:07,14:27,0.0,
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,2,3,235.018,0.70348,14:51,14:51,15:11,0.0,
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,3,12,1390.198,3.814321,15:29,15:29,15:49,0.0,
EV-3000-002-T01,EV-3000-002,1,EV-3000,electric,1,11,897.82,2.955295,11:56,11:56,12:16,0.0,
EV-3000-002-T01,EV-3000-002,1,EV-3000,electric,2,13,540.087,1.27918,13:08,13:08,13:28,1.589,
EV-3000-002-T01,EV-3000-002,1,EV-3000,electric,3,7,1562.093,3.901288,13:43,13:43,14:03,0.0,
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,1,6,1473.642,3.947331,12:02,12:02,12:22,0.0,
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,2,7,1526.358,3.81204,13:15,13:15,13:35,0.0,
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,1,7,3000.0,7.492424,14:07,14:07,14:27,0.0,
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,1,8,2572.29,7.772965,11:26,11:26,11:46,0.0,
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,2,11,427.71,1.407865,12:29,12:29,12:49,0.0,
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,1,5,731.601,2.31239,19:47,19:47,20:07,0.0,
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,2,10,518.399,2.007079,20:10,20:10,20:30,0.0,
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,1,10,1250.0,4.83961,19:53,19:53,20:13,0.0,
EV-3000-008-T01,EV-3000-008,1,EV-3000,electric,1,10,1250.0,4.83961,19:53,19:53,20:13,0.0,
EV-3000-009-T01,EV-3000-009,1,EV-3000,electric,1,10,36.682,0.142021,19:53,19:53,20:13,0.0,
EV-3000-010-T01,EV-3000-010,1,EV-3000,electric,1,4,545.096,1.404063,19:38,19:38,19:58,0.0,
EV-3000-010-T01,EV-3000-010,1,EV-3000,electric,2,10,704.904,2.729169,20:12,20:12,20:32,0.0,
EV-3000-005-T02,EV-3000-005,2,EV-3000,electric,1,6,3000.0,8.035869,14:44,14:44,15:04,105.463,
EV-3000-003-T02,EV-3000-003,2,EV-3000,electric,1,9,2649.949,6.65072,15:41,15:41,16:01,249.335,
EV-3000-003-T02,EV-3000-003,2,EV-3000,electric,2,8,350.051,1.057787,16:10,16:10,16:30,263.344,
EV-1250-001-T01,EV-1250-001,1,EV-1250,electric,1,12,336.644,0.923659,15:43,15:43,16:03,0.0,
EV-1250-001-T01,EV-1250-001,1,EV-1250,electric,2,2,14.89,0.04317,16:09,17:53,18:13,0.0,
EV-1250-001-T01,EV-1250-001,1,EV-1250,electric,3,4,898.466,2.314277,19:08,19:29,19:49,0.0,
EV-3000-002-T02,EV-3000-002,2,EV-3000,electric,1,8,3000.0,9.065423,16:13,16:13,16:33,265.883,
EV-3000-004-T02,EV-3000-004,2,EV-3000,electric,1,8,3000.0,9.065423,16:51,16:51,17:11,303.621,
EV-3000-005-T03,EV-3000-005,3,EV-3000,electric,1,8,3000.0,9.065423,17:34,17:34,17:54,346.664,
FUEL-3000-001-T01,FUEL-3000-001,1,FUEL-3000,fuel,1,19,9.372,0.07403,20:16,20:16,20:36,0.0,
FUEL-3000-001-T01,FUEL-3000-001,1,FUEL-3000,fuel,2,50,1490.628,4.104289,20:52,20:52,21:12,0.0,
FUEL-3000-002-T01,FUEL-3000-002,1,FUEL-3000,fuel,1,70,3000.0,8.652022,12:32,12:32,12:52,0.0,
FUEL-3000-003-T01,FUEL-3000-003,1,FUEL-3000,fuel,1,70,2674.649,7.713708,12:32,12:32,12:52,0.0,
FUEL-3000-003-T01,FUEL-3000-003,1,FUEL-3000,fuel,2,39,325.351,0.808927,13:02,14:08,14:28,0.0,
FUEL-3000-002-T02,FUEL-3000-002,2,FUEL-3000,fuel,1,27,603.124,1.42494,18:38,18:38,18:58,0.0,
FUEL-3000-002-T02,FUEL-3000-002,2,FUEL-3000,fuel,2,77,896.876,2.322457,19:21,19:21,19:41,0.0,
FUEL-3000-004-T01,FUEL-3000-004,1,FUEL-3000,fuel,1,77,1071.391,2.774363,19:08,19:08,19:28,0.0,
FUEL-3000-004-T01,FUEL-3000-004,1,FUEL-3000,fuel,2,98,25.5,0.0646,19:43,19:43,20:03,0.0,
FUEL-3000-004-T01,FUEL-3000-004,1,FUEL-3000,fuel,3,50,403.109,1.109919,20:33,20:33,20:53,0.0,
FUEL-3000-005-T01,FUEL-3000-005,1,FUEL-3000,fuel,1,39,699.54,1.739281,14:45,14:45,15:05,0.0,
FUEL-3000-005-T01,FUEL-3000-005,1,FUEL-3000,fuel,2,95,109.35,0.29746,15:34,15:34,15:54,0.26,
FUEL-3000-005-T01,FUEL-3000-005,1,FUEL-3000,fuel,3,52,2191.11,5.575905,16:21,16:21,16:41,0.0,
FUEL-3000-006-T01,FUEL-3000-006,1,FUEL-3000,fuel,1,35,1692.578,3.88436,11:09,11:09,11:29,17.395,
FUEL-3000-006-T01,FUEL-3000-006,1,FUEL-3000,fuel,2,32,235.806,0.59986,12:08,13:08,13:28,0.0,
FUEL-3000-006-T01,FUEL-3000-006,1,FUEL-3000,fuel,3,75,1071.616,2.790525,13:47,14:25,14:45,0.0,
FUEL-3000-007-T01,FUEL-3000-007,1,FUEL-3000,fuel,1,84,1500.0,4.081605,16:54,16:54,17:14,0.0,
FUEL-3000-008-T01,FUEL-3000-008,1,FUEL-3000,fuel,1,84,105.262,0.286425,16:23,16:23,16:43,0.0,
FUEL-3000-008-T01,FUEL-3000-008,1,FUEL-3000,fuel,2,40,1394.738,4.120618,18:48,18:48,19:08,0.0,
FUEL-3000-009-T01,FUEL-3000-009,1,FUEL-3000,fuel,1,39,3000.0,7.458962,14:55,14:55,15:15,0.0,
FUEL-3000-010-T01,FUEL-3000-010,1,FUEL-3000,fuel,1,52,1650.983,4.201398,15:42,15:42,16:02,0.0,
FUEL-3000-010-T01,FUEL-3000-010,1,FUEL-3000,fuel,2,26,45.813,0.1362,16:26,16:26,16:46,0.0,
FUEL-3000-010-T01,FUEL-3000-010,1,FUEL-3000,fuel,3,91,70.435,0.39102,16:55,16:55,17:15,0.0,
FUEL-3000-010-T01,FUEL-3000-010,1,FUEL-3000,fuel,4,54,1232.769,3.209639,17:32,17:32,17:52,0.0,
FUEL-3000-011-T01,FUEL-3000-011,1,FUEL-3000,fuel,1,54,1500.0,3.905402,17:42,17:42,18:02,0.0,
FUEL-3000-012-T01,FUEL-3000-012,1,FUEL-3000,fuel,1,54,1500.0,3.905402,17:42,17:42,18:02,0.0,
FUEL-3000-013-T01,FUEL-3000-013,1,FUEL-3000,fuel,1,54,1500.0,3.905402,17:42,17:42,18:02,0.0,
FUEL-3000-014-T01,FUEL-3000-014,1,FUEL-3000,fuel,1,54,1500.0,3.905402,17:42,17:42,18:02,0.0,
FUEL-3000-015-T01,FUEL-3000-015,1,FUEL-3000,fuel,1,54,323.272,0.841671,17:42,17:42,18:02,0.0,
FUEL-3000-015-T01,FUEL-3000-015,1,FUEL-3000,fuel,2,27,1176.728,2.780137,19:05,19:05,19:25,0.0,
FUEL-3000-016-T01,FUEL-3000-016,1,FUEL-3000,fuel,1,79,2181.579,6.941571,10:24,10:24,10:44,0.0,
FUEL-3000-016-T01,FUEL-3000-016,1,FUEL-3000,fuel,2,87,180.291,0.46473,11:36,11:36,11:56,0.0,
FUEL-3000-016-T01,FUEL-3000-016,1,FUEL-3000,fuel,3,46,638.13,2.092594,12:07,12:07,12:27,0.0,
FUEL-3000-017-T01,FUEL-3000-017,1,FUEL-3000,fuel,1,61,2695.776,8.479216,12:30,12:30,12:50,0.0,
FUEL-3000-017-T01,FUEL-3000-017,1,FUEL-3000,fuel,2,93,97.696,0.33417,13:07,13:07,13:27,0.0,
FUEL-3000-017-T01,FUEL-3000-017,1,FUEL-3000,fuel,3,32,206.528,0.52538,13:40,13:40,14:00,0.0,
FUEL-3000-018-T01,FUEL-3000-018,1,FUEL-3000,fuel,1,52,3000.0,7.634357,15:10,15:10,15:30,0.0,
FUEL-3000-016-T02,FUEL-3000-016,2,FUEL-3000,fuel,1,89,46.248,0.2733,16:14,16:14,16:34,0.0,
FUEL-3000-016-T02,FUEL-3000-016,2,FUEL-3000,fuel,2,27,1453.752,3.434633,18:23,18:23,18:43,0.0,
FUEL-3000-019-T01,FUEL-3000-019,1,FUEL-3000,fuel,1,38,1261.733,4.06727,10:38,10:38,10:58,0.0,
FUEL-3000-019-T01,FUEL-3000-019,1,FUEL-3000,fuel,2,59,1738.267,4.511293,11:55,11:55,12:15,0.0,
FUEL-3000-020-T01,FUEL-3000-020,1,FUEL-3000,fuel,1,59,3000.0,7.785846,11:38,11:38,11:58,0.0,
FUEL-3000-021-T01,FUEL-3000-021,1,FUEL-3000,fuel,1,59,3000.0,7.785846,11:38,11:38,11:58,0.0,
FUEL-3000-022-T01,FUEL-3000-022,1,FUEL-3000,fuel,1,59,1218.398,3.162086,12:35,12:35,12:55,0.0,
FUEL-3000-022-T01,FUEL-3000-022,1,FUEL-3000,fuel,2,73,1781.602,4.332013,13:24,13:24,13:44,0.0,
FUEL-3000-023-T01,FUEL-3000-023,1,FUEL-3000,fuel,1,94,9.186,0.01795,13:55,13:55,14:15,0.0,
FUEL-3000-023-T01,FUEL-3000-023,1,FUEL-3000,fuel,2,56,2990.814,7.505193,14:30,14:30,14:50,0.0,
FUEL-3000-024-T01,FUEL-3000-024,1,FUEL-3000,fuel,1,58,1362.935,4.734074,14:24,14:24,14:44,0.0,
FUEL-3000-024-T01,FUEL-3000-024,1,FUEL-3000,fuel,2,56,1637.065,4.108075,15:09,15:09,15:29,0.0,
FUEL-3000-025-T01,FUEL-3000-025,1,FUEL-3000,fuel,1,56,2437.282,6.116152,14:27,14:27,14:47,0.0,
FUEL-3000-025-T01,FUEL-3000-025,1,FUEL-3000,fuel,2,75,562.718,1.465337,15:09,15:09,15:29,0.0,
FUEL-3000-020-T02,FUEL-3000-020,2,FUEL-3000,fuel,1,40,1296.398,3.830082,18:50,18:50,19:10,0.0,
FUEL-3000-020-T02,FUEL-3000-020,2,FUEL-3000,fuel,2,71,203.602,0.666727,19:20,19:20,19:40,0.0,
FUEL-3000-021-T02,FUEL-3000-021,2,FUEL-3000,fuel,1,55,197.648,0.50737,18:48,18:48,19:08,0.0,
FUEL-3000-021-T02,FUEL-3000-021,2,FUEL-3000,fuel,2,71,1302.352,4.264758,19:20,19:20,19:40,0.0,
FUEL-3000-026-T01,FUEL-3000-026,1,FUEL-3000,fuel,1,62,1304.296,3.782648,19:53,19:53,20:13,0.0,
FUEL-3000-026-T01,FUEL-3000-026,1,FUEL-3000,fuel,2,71,195.704,0.640864,20:22,20:22,20:42,0.0,
FUEL-3000-027-T01,FUEL-3000-027,1,FUEL-3000,fuel,1,71,1365.41,4.471251,20:21,20:21,20:41,0.0,
FUEL-3000-027-T01,FUEL-3000-027,1,FUEL-3000,fuel,2,50,134.59,0.37058,20:55,20:55,21:15,0.0,
FUEL-3000-028-T01,FUEL-3000-028,1,FUEL-3000,fuel,1,41,2786.418,8.08285,13:00,13:00,13:20,0.0,
FUEL-3000-028-T01,FUEL-3000-028,1,FUEL-3000,fuel,2,73,213.582,0.51933,14:17,14:17,14:37,0.0,
FUEL-3000-029-T01,FUEL-3000-029,1,FUEL-3000,fuel,1,74,887.971,2.498287,13:23,13:23,13:43,0.0,
FUEL-3000-029-T01,FUEL-3000-029,1,FUEL-3000,fuel,2,73,1108.298,2.694856,13:52,13:52,14:12,0.0,
FUEL-3000-029-T01,FUEL-3000-029,1,FUEL-3000,fuel,3,90,100.609,0.22653,14:32,14:32,14:52,0.0,
FUEL-3000-029-T01,FUEL-3000-029,1,FUEL-3000,fuel,4,36,903.122,2.813071,15:17,15:17,15:37,0.0,
FUEL-3000-019-T02,FUEL-3000-019,2,FUEL-3000,fuel,1,72,570.419,1.569892,19:42,19:42,20:02,0.0,
FUEL-3000-019-T02,FUEL-3000-019,2,FUEL-3000,fuel,2,78,929.581,2.332902,20:54,20:54,21:14,0.0,
FUEL-3000-030-T01,FUEL-3000-030,1,FUEL-3000,fuel,1,28,561.983,1.373388,19:52,19:52,20:12,0.0,
FUEL-3000-030-T01,FUEL-3000-030,1,FUEL-3000,fuel,2,78,938.017,2.354073,20:55,20:55,21:15,0.0,
FUEL-3000-031-T01,FUEL-3000-031,1,FUEL-3000,fuel,1,78,14.793,0.037125,20:13,20:13,20:33,0.0,
FUEL-3000-031-T01,FUEL-3000-031,1,FUEL-3000,fuel,2,50,1485.207,4.089363,20:58,20:58,21:18,0.216,
FUEL-3000-032-T01,FUEL-3000-032,1,FUEL-3000,fuel,1,66,2866.448,8.6796,10:03,10:03,10:23,0.0,
FUEL-3000-032-T01,FUEL-3000-032,1,FUEL-3000,fuel,2,79,133.552,0.424949,10:36,10:36,10:56,0.0,
FUEL-3000-033-T01,FUEL-3000-033,1,FUEL-3000,fuel,1,50,1500.0,4.130094,20:16,20:16,20:36,0.0,
FUEL-3000-034-T01,FUEL-3000-034,1,FUEL-3000,fuel,1,50,1500.0,4.130094,20:16,20:16,20:36,0.0,
FUEL-3000-035-T01,FUEL-3000-035,1,FUEL-3000,fuel,1,50,1438.776,3.96152,20:16,20:16,20:36,0.0,
FUEL-3000-036-T01,FUEL-3000-036,1,FUEL-3000,fuel,1,75,1383.107,3.601658,14:34,14:34,14:54,0.0,
FUEL-3000-036-T01,FUEL-3000-036,1,FUEL-3000,fuel,2,45,1616.893,5.133247,15:32,15:37,15:57,0.0,
FUEL-3000-032-T02,FUEL-3000-032,2,FUEL-3000,fuel,1,55,1500.0,3.850554,18:18,18:18,18:38,0.0,
FUEL-3000-022-T02,FUEL-3000-022,2,FUEL-3000,fuel,1,55,1500.0,3.850554,18:02,18:02,18:22,0.0,
FUEL-3000-037-T01,FUEL-3000-037,1,FUEL-3000,fuel,1,55,1500.0,3.850554,18:19,18:19,18:39,0.0,
FUEL-3000-038-T01,FUEL-3000-038,1,FUEL-3000,fuel,1,55,1500.0,3.850554,18:19,18:19,18:39,0.0,
FUEL-3000-039-T01,FUEL-3000-039,1,FUEL-3000,fuel,1,55,1500.0,3.850554,18:19,18:19,18:39,0.0,
FUEL-3000-040-T01,FUEL-3000-040,1,FUEL-3000,fuel,1,55,1500.0,3.850554,18:19,18:19,18:39,0.0,
FUEL-3000-041-T01,FUEL-3000-041,1,FUEL-3000,fuel,1,55,1500.0,3.850554,18:19,18:19,18:39,0.0,
FUEL-3000-042-T01,FUEL-3000-042,1,FUEL-3000,fuel,1,55,1500.0,3.850554,18:19,18:19,18:39,0.0,
FUEL-3000-043-T01,FUEL-3000-043,1,FUEL-3000,fuel,1,74,3000.0,8.440433,14:10,14:10,14:30,0.0,
FUEL-3000-044-T01,FUEL-3000-044,1,FUEL-3000,fuel,1,46,2681.71,8.794026,11:19,11:19,11:39,0.0,
FUEL-3000-044-T01,FUEL-3000-044,1,FUEL-3000,fuel,2,61,318.29,1.00114,12:55,12:55,13:15,0.0,
FUEL-3000-045-T01,FUEL-3000-045,1,FUEL-3000,fuel,1,42,606.044,1.436023,10:28,10:28,10:48,0.0,
FUEL-3000-045-T01,FUEL-3000-045,1,FUEL-3000,fuel,2,33,527.267,1.37982,11:00,11:00,11:20,0.0,
FUEL-3000-045-T01,FUEL-3000-045,1,FUEL-3000,fuel,3,82,428.413,1.340764,13:03,13:03,13:23,0.998,
FUEL-3000-045-T01,FUEL-3000-045,1,FUEL-3000,fuel,4,97,17.48,0.04201,13:39,13:42,14:02,0.0,
FUEL-3000-045-T01,FUEL-3000-045,1,FUEL-3000,fuel,5,64,1420.796,3.50518,14:32,14:32,14:52,0.0,
FUEL-3000-046-T01,FUEL-3000-046,1,FUEL-3000,fuel,1,42,3000.0,7.108509,10:28,10:28,10:48,0.0,
FUEL-3000-047-T01,FUEL-3000-047,1,FUEL-3000,fuel,1,42,3000.0,7.108509,10:28,10:28,10:48,0.0,
FUEL-3000-048-T01,FUEL-3000-048,1,FUEL-3000,fuel,1,31,771.621,1.759977,16:49,16:49,17:09,0.0,
FUEL-3000-048-T01,FUEL-3000-048,1,FUEL-3000,fuel,2,81,1343.612,3.64803,18:07,18:07,18:27,0.0,
FUEL-3000-048-T01,FUEL-3000-048,1,FUEL-3000,fuel,3,34,364.05,1.5211,18:56,18:56,19:16,0.0,
FUEL-3000-048-T01,FUEL-3000-048,1,FUEL-3000,fuel,4,28,520.717,1.272542,19:31,19:31,19:51,0.0,
FUEL-3000-049-T01,FUEL-3000-049,1,FUEL-3000,fuel,1,67,825.389,2.523814,19:55,19:55,20:15,0.0,
FUEL-3000-049-T01,FUEL-3000-049,1,FUEL-3000,fuel,2,28,674.611,1.648632,20:27,20:27,20:47,0.0,
FUEL-3000-050-T01,FUEL-3000-050,1,FUEL-3000,fuel,1,28,1500.0,3.665738,20:07,20:07,20:27,0.0,
FUEL-3000-051-T01,FUEL-3000-051,1,FUEL-3000,fuel,1,86,532.895,2.84858,10:00,10:06,10:26,0.0,
FUEL-3000-051-T01,FUEL-3000-051,1,FUEL-3000,fuel,2,37,564.949,1.8194,10:58,10:58,11:18,15.353,
FUEL-3000-051-T01,FUEL-3000-051,1,FUEL-3000,fuel,3,49,1902.156,5.739723,13:05,13:06,13:26,0.0,
FUEL-3000-052-T01,FUEL-3000-052,1,FUEL-3000,fuel,1,76,1256.301,4.18709,09:41,09:41,10:01,0.0,
FUEL-3000-052-T01,FUEL-3000-052,1,FUEL-3000,fuel,2,85,593.83,1.42095,10:04,10:04,10:24,0.0,
FUEL-3000-052-T01,FUEL-3000-052,1,FUEL-3000,fuel,3,16,85.2,0.1931,10:41,10:41,11:01,0.0,
FUEL-3000-052-T01,FUEL-3000-052,1,FUEL-3000,fuel,4,82,1064.669,3.331996,11:12,11:41,12:01,0.0,
FUEL-3000-053-T01,FUEL-3000-053,1,FUEL-3000,fuel,1,64,1428.971,3.525348,14:13,14:13,14:33,0.0,
FUEL-3000-053-T01,FUEL-3000-053,1,FUEL-3000,fuel,2,58,1571.029,5.456876,14:38,14:38,14:58,0.0,
FUEL-3000-054-T01,FUEL-3000-054,1,FUEL-3000,fuel,1,65,552.587,1.268583,15:58,15:58,16:18,0.0,
FUEL-3000-054-T01,FUEL-3000-054,1,FUEL-3000,fuel,2,69,2288.886,6.06402,16:31,16:31,16:51,0.0,
FUEL-3000-054-T01,FUEL-3000-054,1,FUEL-3000,fuel,3,51,158.527,0.437102,18:06,18:06,18:26,0.0,
FUEL-3000-055-T01,FUEL-3000-055,1,FUEL-3000,fuel,1,61,3000.0,9.436114,13:39,13:39,13:59,0.0,
FUEL-3000-046-T02,FUEL-3000-046,2,FUEL-3000,fuel,1,36,2406.132,7.494689,16:10,16:10,16:30,0.0,
FUEL-3000-046-T02,FUEL-3000-046,2,FUEL-3000,fuel,2,63,593.868,1.624401,17:09,17:09,17:29,0.0,
FUEL-3000-056-T01,FUEL-3000-056,1,FUEL-3000,fuel,1,31,3000.0,6.842647,16:59,16:59,17:19,0.0,
FUEL-3000-057-T01,FUEL-3000-057,1,FUEL-3000,fuel,1,31,3000.0,6.842647,16:59,16:59,17:19,0.0,
FUEL-3000-047-T02,FUEL-3000-047,2,FUEL-3000,fuel,1,44,2406.574,6.145033,17:13,17:13,17:33,0.0,
FUEL-3000-047-T02,FUEL-3000-047,2,FUEL-3000,fuel,2,67,593.426,1.814535,19:08,19:08,19:28,0.0,
FUEL-3000-058-T01,FUEL-3000-058,1,FUEL-3000,fuel,1,67,1500.0,4.586591,19:55,19:55,20:15,0.0,
