customer_id,x_km,y_km,distance_to_center_km,is_green_zone,order_count,total_weight_kg,total_volume_m3,needs_service,trip_lower_bound,window_start_minutes,window_end_minutes,window_width_minutes,has_order,is_active_green_customer
1,0.74596198306597,6.12744724329777,6.1726873401766555,1,0.0,0.0,0.0,0,0.0,693.0,742.0,49.0,0,0
2,3.49201994126609,-2.09987360600907,4.074760413989215,1,1.0,14.89,0.04317,1,1.0,1073.0,1129.0,56.0,1,1
3,-2.7926750198023,-7.07070496926335,7.602230102318214,1,5.0,235.018,0.70348,1,1.0,873.0,921.0,48.0,1,1
4,-5.53320102964836,4.96886646380205,7.436796862198023,1,12.0,1443.562,3.71834,1,1.0,1169.0,1237.0,68.0,1,1
5,-7.58608040355909,-3.95143072486639,8.553503414547828,1,23.0,731.601,2.31239,1,1.0,1168.0,1226.0,58.0,1,1
6,-4.66159864091412,-7.50935781984783,8.838606041423168,1,28.0,4473.642,11.9832,1,2.0,706.0,779.0,73.0,1,1
7,-8.50508883064982,3.40488850459411,9.16132096075459,1,46.0,7463.235,18.63924,1,3.0,761.0,848.0,87.0,1,1
8,2.31778195492727,3.18321046881879,3.937631531693134,1,69.0,11922.341,36.02702,1,4.0,649.0,707.0,58.0,1,1
9,4.21284964345134,7.3870741887538,8.503938334000352,1,37.0,2649.949,6.65072,1,1.0,606.0,692.0,86.0,1,1
10,-5.87115512935265,-5.56732049906664,8.091076571893975,1,38.0,3759.985,14.55749,1,2.0,1180.0,1229.0,49.0,1,1
11,0.52184375622088,-2.3827701607119,2.439244666835562,1,20.0,1325.53,4.36316,1,1.0,689.0,770.0,81.0,1,1
12,1.21755848144176,-1.34839674138507,1.816761522024462,1,14.0,1726.842,4.73798,1,1.0,895.0,950.0,55.0,1,1
13,1.95141807684275,8.96083447171654,9.17085530035951,1,7.0,540.087,1.27918,1,1.0,730.0,786.0,56.0,1,1
14,-0.943660216384455,-8.4695515770045,8.521959781618673,1,0.0,0.0,0.0,0,0.0,942.0,1025.0,83.0,0,0
15,-1.70421069554743,-3.09774834490506,3.5355874905283127,1,0.0,0.0,0.0,0,0.0,900.0,984.0,84.0,0,0
16,14.450550964877,-8.76544029595808,16.901223824638063,0,3.0,85.19999999999999,0.1931,1,1.0,557.0,641.0,84.0,1,0
17,33.3988623061578,-4.21820637223678,33.664183761743985,0,0.0,0.0,0.0,0,0.0,772.0,856.0,84.0,0,0
18,-5.54863118490896,12.227305144567,13.42737126635362,0,0.0,0.0,0.0,0,0.0,914.0,972.0,58.0,0,0
19,-24.9556659958338,-20.1758424030975,32.09127423413166,0,1.0,9.372,0.07403,1,1.0,1155.0,1228.0,73.0,1,0
20,14.7106222334661,-12.5193153454242,19.316719784008903,0,0.0,0.0,0.0,0,0.0,637.0,721.0,84.0,0,0
21,-11.7497074626045,35.0960881663225,37.01068805135979,0,0.0,0.0,0.0,0,0.0,575.0,623.0,48.0,0,0
22,-8.83173297560488,-15.519725753721,17.856690477888044,0,0.0,0.0,0.0,0,0.0,831.0,917.0,86.0,0,0
23,-13.8099790627706,-22.8050691954668,26.66058331552765,0,0.0,0.0,0.0,0,0.0,730.0,795.0,65.0,0,0
24,-22.8798563925078,17.78788893064,28.980973433453975,0,5.0,1262.167,2.95599,1,1.0,1011.0,1096.0,85.0,1,0
25,7.61494129207758,8.63190789686469,11.510741280288736,0,5.0,2528.135,5.33839,1,1.0,979.0,1049.0,70.0,1,0
26,-3.82996615152896,-27.8021080833649,28.064672715015963,0,3.0,45.813,0.1362,1,1.0,950.0,1032.0,82.0,1,0
27,-0.948882982472617,-27.1587227180418,27.175293900708894,0,9.0,3233.604,7.63971,1,2.0,1071.0,1147.0,76.0,1,0
28,22.0320436347622,-20.5978136037632,30.16091629873731,0,7.0,3257.311,7.9603,1,2.0,1167.0,1235.0,68.0,1,0
29,-14.3588031854593,29.6057903264111,32.90407345254039,0,3.0,873.9449999999999,2.04764,1,1.0,1058.0,1143.0,85.0,1,0
30,16.0800764301466,7.04621833529546,17.556139975177068,0,4.0,334.852,0.73178,1,1.0,692.0,782.0,90.0,1,0
31,8.19840369741397,-9.60107559004272,12.625152500919947,0,8.0,6771.621,15.44527,1,3.0,1009.0,1066.0,57.0,1,0
32,0.323325874270734,-37.5736956858047,37.5750867877964,0,11.0,442.334,1.12524,1,1.0,788.0,864.0,76.0,1,0
33,-8.66244194564893,-13.7461263895102,16.247888822186308,0,9.0,527.267,1.37982,1,1.0,646.0,731.0,85.0,1,0
34,13.090888292642,-10.9595442953867,17.072872267224824,0,10.0,364.05,1.5211,1,1.0,1135.0,1208.0,73.0,1,0
35,-0.079057338447202,-32.911273246347,32.9113681994304,0,14.0,1692.578,3.88436,1,1.0,569.0,652.0,83.0,1,0
36,-27.7413684328977,15.6205382398009,31.83684559485841,0,17.0,3309.254,10.30776,1,2.0,916.0,981.0,65.0,1,0
37,35.9798551608321,-8.83484643633667,37.04867729012882,0,13.0,564.949,1.8194,1,1.0,565.0,643.0,78.0,1,0
38,-19.8657669761891,8.2450917570308,21.50884087146731,0,21.0,1261.733,4.06727,1,1.0,628.0,694.0,66.0,1,0
39,-14.7593829065892,-31.3415469493066,34.64292061820001,0,18.0,4024.891,10.00717,1,2.0,848.0,900.0,52.0,1,0
40,-25.4478796473256,8.26587472638908,26.75666764634801,0,17.0,2691.136,7.9507,1,1.0,1072.0,1144.0,72.0,1,0
41,-6.39184845369064,38.866308384005,39.38839491595875,0,35.0,2786.418,8.08285,1,1.0,758.0,831.0,73.0,1,0
42,-7.97960536037818,-18.8049073592717,20.42788884094896,0,25.0,6606.044,15.65304,1,3.0,614.0,681.0,67.0,1,0
43,18.151206181933,-13.637299694184,22.703352809839206,0,41.0,5061.581,13.61688,1,2.0,1013.0,1097.0,84.0,1,0
44,21.590843242742,-11.0654463649764,24.261257493972305,0,30.0,4552.309,11.62403,1,2.0,1021.0,1109.0,88.0,1,0
45,19.4247893328668,-17.0996049039402,25.87892827180275,0,43.0,5799.925,18.41337,1,2.0,937.0,996.0,59.0,1,0
46,-3.94895297178467,-34.8007269144264,35.02406063473864,0,33.0,3319.84,10.88662,1,2.0,672.0,731.0,59.0,1,0
47,10.5334022336896,17.621635259999,20.529846367012517,0,38.0,2859.759,8.09606,1,1.0,1135.0,1195.0,60.0,1,0
48,5.11105840595424,10.9732978458469,12.105213077131015,0,42.0,8598.728000000001,20.02599,1,3.0,966.0,1048.0,82.0,1,0
49,30.4883697362318,13.04953073461,33.1636991538445,0,46.0,4486.836,13.53895,1,2.0,786.0,842.0,56.0,1,0
50,-19.4837889125212,-8.72892514392852,21.349757950758868,0,55.0,7952.31,21.89586,1,3.0,1209.0,1258.0,49.0,1,0
51,-8.69400896691041,16.0355565510262,18.240747402940425,0,54.0,3539.478,9.75931,1,2.0,1053.0,1119.0,66.0,1,0
52,-9.42229186702531,-18.809064939498,21.037122139819036,0,54.0,6842.093,17.41166,1,3.0,905.0,992.0,87.0,1,0
53,16.6645391539304,-0.259417867939575,16.66655821827307,0,55.0,6963.846,18.75874,1,3.0,1079.0,1132.0,53.0,1,0
54,-7.26957106603941,-30.7450666987351,31.592812312199552,0,55.0,7556.041,19.67292,1,3.0,1040.0,1124.0,84.0,1,0
55,-30.4738708628108,0.417718230968227,30.47673364853511,0,61.0,12197.648,31.3118,1,5.0,1075.0,1152.0,77.0,1,0
56,30.9734492073973,-24.4269327966448,39.446541060719404,0,50.0,7065.161,17.72942,1,3.0,830.0,909.0,79.0,1,0
57,35.8691630924626,6.80594557114049,36.50914619750793,0,49.0,6609.652,16.91453,1,3.0,878.0,959.0,81.0,1,0
58,29.2918813421379,-11.2363981231824,31.373092855893937,0,44.0,2933.964,10.19095,1,1.0,858.0,923.0,65.0,1,0
59,-32.4103858046121,-2.65068011202597,32.51859795655543,0,60.0,8956.665,23.24507,1,3.0,675.0,759.0,84.0,1,0
60,14.512163776104,29.3929978248616,32.78034805484506,0,56.0,9906.629,26.01759,1,4.0,623.0,696.0,73.0,1,0
61,7.25597388908157,-33.7475199378438,34.5187522809588,0,37.0,6014.066,18.91647,1,3.0,737.0,823.0,86.0,1,0
62,-14.3803349502555,-0.886084812651717,14.407608391983448,0,63.0,8804.296,25.53374,1,3.0,1151.0,1201.0,50.0,1,0
63,-18.8423929163792,25.2549085872536,31.509461730815914,0,52.0,8692.99,23.77785,1,3.0,952.0,1034.0,82.0,1,0
64,29.553914624618,-15.7832896589862,33.50441914283354,0,49.0,8849.767,21.83285,1,3.0,849.0,905.0,56.0,1,0
65,-13.5633988058324,35.7117550694904,38.20072299458911,0,54.0,6552.587,15.04288,1,3.0,957.0,1043.0,86.0,1,0
66,10.9979131123698,-14.3764159181384,18.10070240290522,0,38.0,2866.448,8.6796,1,1.0,550.0,633.0,83.0,1,0
67,15.2856210779678,-28.0053274336459,31.90530639885681,0,50.0,2918.815,8.92494,1,1.0,1132.0,1216.0,84.0,1,0
68,-6.89120148830592,36.8225598526382,37.4618415464797,0,50.0,7414.987,17.4329,1,3.0,1111.0,1188.0,77.0,1,0
69,-10.2808334321244,29.5869615259404,31.322257715505824,0,32.0,2288.886,6.06402,1,1.0,946.0,1029.0,83.0,1,0
70,-12.9249626484284,-33.6033227158668,36.00330480678071,0,42.0,5674.649,16.36573,1,2.0,696.0,755.0,59.0,1,0
71,-21.4142706428761,-0.0177783553764303,21.414278022764744,0,21.0,3067.068,10.0436,1,2.0,1159.0,1245.0,86.0,1,0
72,3.34995943599543,31.3048933804785,31.4836239620845,0,36.0,2725.323,7.50056,1,1.0,1153.0,1235.0,82.0,1,0
73,-19.079563342021,3.11570859008743,19.33228846620431,0,29.0,3103.482,7.5462,1,2.0,802.0,857.0,55.0,1,0
74,-14.4202892616212,0.438615616091085,14.426958308926613,0,24.0,3887.971,10.93872,1,2.0,791.0,850.0,59.0,1,0
75,17.8559660659719,-34.5128170174245,38.858333245616265,0,21.0,3017.441,7.85752,1,2.0,865.0,945.0,80.0,1,0
76,6.17248271231953,-11.9739943806008,13.471305959725768,0,17.0,1256.301,4.18709,1,1.0,549.0,625.0,76.0,1,0
77,-8.90340842896458,-33.0969833073601,34.273619384311175,0,17.0,1968.267,5.09682,1,1.0,1136.0,1217.0,81.0,1,0
78,0.735897737284067,-11.817830191293,11.84072024456182,0,20.0,1882.391,4.7241,1,1.0,1194.0,1255.0,61.0,1,0
79,6.48665021130649,-18.7369565714111,19.828014840694166,0,17.0,2315.131,7.36652,1,1.0,575.0,645.0,70.0,1,0
80,-16.1633724807616,17.956024307724,24.15933399105647,0,9.0,506.3410000000001,1.90288,1,1.0,1061.0,1114.0,53.0,1,0
81,12.7485642351257,-13.9951114455965,18.93116569130893,0,12.0,1343.612,3.64803,1,1.0,1024.0,1088.0,64.0,1,0
82,14.5060829317191,-14.9096560728536,20.802026012691467,0,13.0,1493.082,4.67276,1,1.0,701.0,782.0,81.0,1,0
83,17.5691594969999,23.7073613386205,29.5078692397628,0,10.0,926.841,2.79316,1,1.0,828.0,883.0,55.0,1,0
84,-32.2887483255588,-6.33777906329211,32.904873679842325,0,10.0,1605.262,4.36803,1,1.0,974.0,1029.0,55.0,1,0
85,5.2885051532574,-10.610672970256,11.855575381977516,0,7.0,593.8299999999999,1.42095,1,1.0,591.0,662.0,71.0,1,0
86,22.2501851106262,3.36277307745693,22.50286604474197,0,7.0,532.895,2.84858,1,1.0,606.0,695.0,89.0,1,0
87,-5.07881748714319,-34.9821210394225,35.34887805128358,0,6.0,180.291,0.46473,1,1.0,678.0,762.0,84.0,1,0
88,10.1634114043108,23.9868549043046,26.051183074352622,0,3.0,79.601,0.5374800000000001,1,1.0,604.0,679.0,75.0,1,0
89,-25.5470740390242,-15.4194000905651,29.839753536319687,0,1.0,46.248,0.2733,1,1.0,971.0,1033.0,62.0,1,0
90,-33.6060651581938,2.20467172657312,33.67830448283758,0,4.0,100.609,0.22653,1,1.0,830.0,909.0,79.0,1,0
91,-5.63196878175453,-30.3321609421464,30.8505925352971,0,4.0,70.435,0.39102,1,1.0,1000.0,1079.0,79.0,1,0
92,8.28368192850442,17.7735226449337,19.609117611524535,0,4.0,1524.512,3.82045,1,1.0,887.0,967.0,80.0,1,0
93,0.746941949932783,-28.7424167151396,28.752120633151666,0,2.0,97.696,0.33417,1,1.0,772.0,854.0,82.0,1,0
94,21.835155243347,-28.7650388212301,36.113729562147675,0,1.0,9.186,0.01795,1,1.0,763.0,837.0,74.0,1,0
95,-6.22843376493341,-26.8257702440231,27.539341610671773,0,1.0,109.35,0.29746,1,1.0,865.0,934.0,69.0,1,0
96,-12.3209577741134,10.3641991683692,16.10039207203074,0,0.0,0.0,0.0,0,0.0,983.0,1072.0,89.0,0,0
97,7.2247850453069,-12.1653024302337,14.148925830957635,0,1.0,17.48,0.04201,1,1.0,822.0,911.0,89.0,1,0
98,-19.3415293006296,-35.0080570685232,39.9957349651196,0,1.0,25.5,0.0646,1,1.0,1158.0,1241.0,83.0,1,0
