route_id,physical_vehicle_id,trip_number,vehicle_type,propulsion,sequence,customer_id,delivered_weight_kg,delivered_volume_m3,leg_distance_km,arrival,service_start,departure,waiting_minutes,late_minutes
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,1,56,1065.161,2.672931,80.451906,14:57,14:57,15:17,0.0,0.0
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,2,91,70.435,0.39102,49.095879,16:41,16:41,17:01,0.0,0.0
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,3,54,1556.041,4.051311,2.744993,17:17,17:20,17:40,2.691,0.0
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,4,19,9.372,0.07403,31.303262,19:20,19:20,19:40,0.0,0.0
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,5,28,257.311,0.628823,49.532374,20:34,20:34,20:54,0.0,0.0
EV-3000-002-T01,EV-3000-002,1,EV-3000,electric,1,70,3000.0,8.652022,120.240603,12:32,12:32,12:52,0.0,0.0
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,1,87,180.291,0.46473,94.301982,11:22,11:22,11:42,0.0,0.0
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,2,70,2674.649,7.713708,13.340901,13:01,13:01,13:21,0.0,25.604
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,3,95,109.35,0.29746,18.37858,13:41,14:25,14:45,44.456,0.0
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,4,75,17.441,0.045417,30.98484,15:29,15:29,15:49,0.0,0.0
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,1,36,309.254,0.963273,55.379316,15:16,15:16,15:36,0.244,0.0
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,2,89,46.248,0.2733,41.278974,16:46,16:46,17:06,0.0,0.0
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,3,27,233.604,0.551913,28.916158,19:11,19:11,19:31,0.0,4.165
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,4,77,1968.267,5.09682,19.816397,19:53,19:53,20:13,0.0,0.0
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,5,98,25.5,0.0646,13.303516,20:27,20:27,20:47,0.0,0.0
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,6,50,225.018,0.619564,28.357146,21:18,21:18,21:38,0.0,19.867
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,1,16,85.2,0.1931,44.639126,09:38,09:38,09:58,0.0,0.0
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,2,35,1692.578,3.88436,30.451356,10:48,10:48,11:08,0.0,0.0
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,3,46,319.84,1.048839,7.938486,11:22,11:22,11:42,0.0,0.0
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,4,93,97.696,0.33417,11.748453,12:54,12:54,13:14,0.0,0.0
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,5,32,442.334,1.12524,11.720807,13:26,13:26,13:46,0.0,0.0
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,6,61,14.066,0.044243,14.302654,14:02,14:02,14:22,0.0,18.796
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,1,74,887.971,2.498287,65.835878,13:49,13:49,14:09,0.0,0.0
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,2,73,103.482,0.251619,7.43062,14:17,14:17,14:37,0.0,0.143
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,3,90,100.609,0.22653,18.45501,14:57,14:57,15:17,0.0,0.0
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,4,84,1605.262,4.36803,9.940509,15:34,16:14,16:34,39.985,0.0
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,5,55,197.648,0.50737,10.433843,16:52,17:55,18:15,63.316,0.0
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,6,71,67.068,0.219625,10.259014,19:03,19:19,19:39,15.844,0.0
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,1,37,564.949,1.8194,60.807579,10:41,10:41,11:01,0.0,0.0
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,2,94,9.186,0.01795,30.605281,12:51,12:51,13:11,0.0,0.0
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,3,39,1024.891,2.548208,45.44305,14:00,14:08,14:28,7.596,0.0
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,4,52,842.093,2.142946,14.965728,14:44,15:05,15:25,20.762,0.0
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,5,26,45.813,0.1362,14.17462,15:49,15:50,16:10,0.975,0.0
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,6,2,14.89,0.04317,28.785466,16:59,17:53,18:13,54.211,0.0
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,7,34,364.05,1.5211,18.384429,19:12,19:12,19:32,0.0,0.0
EV-3000-008-T01,EV-3000-008,1,EV-3000,electric,1,39,3000.0,7.458962,97.084682,14:10,14:10,14:30,0.0,0.0
EV-3000-002-T02,EV-3000-002,2,EV-3000,electric,1,54,3000.0,7.810805,96.105476,19:15,19:15,19:35,0.0,31.32
EV-3000-005-T02,EV-3000-005,2,EV-3000,electric,1,54,3000.0,7.810805,96.105476,19:30,19:30,19:50,0.0,45.747
EV-3000-009-T01,EV-3000-009,1,EV-3000,electric,1,52,3000.0,7.634357,89.087773,16:29,16:29,16:49,0.0,0.0
EV-3000-010-T01,EV-3000-010,1,EV-3000,electric,1,52,3000.0,7.634357,89.087773,16:29,16:29,16:49,0.0,0.0
EV-3000-008-T02,EV-3000-008,2,EV-3000,electric,1,59,3000.0,7.785846,82.077276,20:06,20:06,20:26,0.0,447.488
FUEL-3000-001-T01,FUEL-3000-001,1,FUEL-3000,fuel,1,59,3000.0,7.785846,82.077276,11:38,11:38,11:58,0.0,0.0
FUEL-3000-002-T01,FUEL-3000-002,1,FUEL-3000,fuel,1,59,2956.665,7.673379,82.077276,11:38,11:38,11:58,0.0,0.0
EV-3000-003-T02,EV-3000-003,2,EV-3000,electric,1,56,3000.0,7.528245,80.451906,20:35,20:35,20:55,0.0,325.918
EV-3000-009-T02,EV-3000-009,2,EV-3000,electric,1,56,3000.0,7.528245,80.451906,21:35,21:35,21:55,0.0,386.328
EV-3000-010-T02,EV-3000-010,2,EV-3000,electric,1,27,3000.0,7.087797,78.403996,21:33,21:33,21:53,0.0,146.106
EV-3000-007-T02,EV-3000-007,2,EV-3000,electric,1,71,3000.0,9.823975,74.701143,21:46,21:46,22:06,0.0,60.918
FUEL-3000-003-T01,FUEL-3000-003,1,FUEL-3000,fuel,1,73,3000.0,7.294581,72.713429,14:17,14:17,14:37,0.0,0.121
FUEL-3000-001-T02,FUEL-3000-001,2,FUEL-3000,fuel,1,50,824.837,2.271103,70.491243,20:11,20:11,20:31,0.0,0.0
FUEL-3000-001-T02,FUEL-3000-001,2,FUEL-3000,fuel,2,78,1882.391,4.7241,22.892313,20:56,20:56,21:16,0.0,0.665
FUEL-3000-004-T01,FUEL-3000-004,1,FUEL-3000,fuel,1,79,2315.131,7.36652,71.086303,10:18,10:18,10:38,0.0,0.0
FUEL-3000-004-T01,FUEL-3000-004,1,FUEL-3000,fuel,2,86,532.895,2.84858,31.341253,11:36,11:36,11:56,0.0,0.679
FUEL-3000-004-T02,FUEL-3000-004,2,FUEL-3000,fuel,1,43,2061.581,5.546153,38.588538,17:51,17:51,18:11,0.0,0.0
FUEL-3000-004-T02,FUEL-3000-004,2,FUEL-3000,fuel,2,50,902.455,2.484816,40.515451,19:35,20:09,20:29,33.746,0.0
EV-3000-006-T02,EV-3000-006,2,EV-3000,electric,1,50,3000.0,8.260189,70.491243,22:17,22:17,22:37,0.0,78.532
FUEL-3000-002-T02,FUEL-3000-002,2,FUEL-3000,fuel,1,50,3000.0,8.260189,70.491243,20:25,20:25,20:45,0.0,0.0
FUEL-3000-005-T01,FUEL-3000-005,1,FUEL-3000,fuel,1,38,1261.733,4.06727,68.59541,11:25,11:25,11:45,0.0,0.0
FUEL-3000-005-T01,FUEL-3000-005,1,FUEL-3000,fuel,2,7,1463.235,3.654392,16.33828,13:04,13:04,13:24,0.0,0.0
