route_id,vehicle_type,propulsion,sequence,customer_id,delivered_weight_kg,delivered_volume_m3,leg_distance_km,arrival,service_start,departure,waiting_minutes,late_minutes
EV-3000-001,EV-3000,electric,1,88,79.6007,0.53748,15.189998,10:10,10:10,10:30,0.0,0.0
EV-3000-001,EV-3000,electric,2,60,2920.3993,7.669789,12.013563,10:50,10:50,11:10,0.0,0.0
EV-3000-002,EV-3000,electric,1,76,1256.3017,4.07298,37.624322,09:41,09:41,10:01,0.0,0.0
EV-3000-002,EV-3000,electric,2,85,593.8303,1.42095,1.870474,10:04,10:04,10:24,0.0,0.0
EV-3000-002,EV-3000,electric,3,16,85.2,0.1931,9.839761,10:41,10:41,11:01,0.0,0.0
EV-3000-002,EV-3000,electric,4,82,1064.668,3.331993,6.910881,11:12,11:41,12:01,28.617,0.0
EV-3000-003,EV-3000,electric,1,60,3000.0,7.878842,18.374091,10:31,10:31,10:51,0.0,0.0
EV-3000-004,EV-3000,electric,1,60,3000.0,7.878842,18.374091,10:31,10:31,10:51,0.0,0.0
EV-3000-005,EV-3000,electric,1,60,986.2299,2.590117,18.374091,10:31,10:31,10:51,0.0,0.0
EV-3000-005,EV-3000,electric,2,30,334.852,0.73178,32.939575,12:31,12:31,12:51,0.0,0.0
EV-3000-005,EV-3000,electric,3,49,1678.9181,5.066106,19.848541,13:20,13:20,13:40,0.0,0.0
EV-3000-006,EV-3000,electric,1,86,532.895,2.84858,27.723214,10:16,10:16,10:36,0.0,0.0
EV-3000-006,EV-3000,electric,2,8,2467.105,7.54505,29.671791,11:26,11:26,11:46,0.0,0.0
EV-3000-007,EV-3000,electric,1,66,2817.4139,8.6796,47.97063,09:52,09:52,10:12,0.0,0.0
EV-3000-007,EV-3000,electric,2,79,182.5861,0.580971,7.710955,10:25,10:25,10:45,0.0,0.0
EV-3000-008,EV-3000,electric,1,9,2569.3093,6.65072,40.429913,10:53,10:53,11:13,0.0,0.0
EV-3000-008,EV-3000,electric,2,8,430.6907,1.317164,5.315577,11:22,11:22,11:42,0.0,0.0
EV-3000-009,EV-3000,electric,1,37,564.949,1.8194,60.807579,10:07,10:07,10:27,0.0,0.0
EV-3000-009,EV-3000,electric,2,8,2435.051,7.44702,39.561041,11:43,11:43,12:03,0.0,0.0
EV-3000-010,EV-3000,electric,1,8,3000.0,9.174782,33.027448,11:26,11:26,11:46,0.0,0.0
FUEL-3000-001,FUEL-3000,fuel,1,8,3000.0,9.174782,33.027448,11:26,11:26,11:46,0.0,0.0
FUEL-3000-002,FUEL-3000,fuel,1,8,447.38567,1.368222,33.027448,10:56,10:56,11:16,0.0,0.0
FUEL-3000-002,FUEL-3000,fuel,2,11,1325.5301,4.36316,7.081792,11:28,11:29,11:49,1.018,0.0
FUEL-3000-002,FUEL-3000,fuel,3,6,1227.08423,3.286895,11.63542,13:00,13:00,13:20,0.0,1.042
FUEL-3000-003,FUEL-3000,fuel,1,42,3000.0,7.113609,62.568183,10:28,10:28,10:48,0.0,0.0
FUEL-3000-004,FUEL-3000,fuel,1,42,3000.0,7.113609,62.568183,10:28,10:28,10:48,0.0,0.0
FUEL-3000-005,FUEL-3000,fuel,1,33,527.2666,1.37982,57.715,10:51,10:51,11:11,0.0,0.0
