route_id,physical_vehicle_id,trip_number,vehicle_type,propulsion,sequence,customer_id,delivered_weight_kg,delivered_volume_m3,leg_distance_km,arrival,service_start,departure,waiting_minutes,late_minutes
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,1,76,1256.301,4.18709,37.624322,10:17,10:17,10:37,0.0,0.0
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,2,97,17.48,0.04201,1.145529,10:39,13:42,14:02,183.153,0.0
EV-3000-001-T01,EV-3000-001,1,EV-3000,electric,3,81,1343.612,3.64803,7.561428,14:10,17:04,17:24,173.796,0.0
EV-3000-002-T01,EV-3000-002,1,EV-3000,electric,1,66,2866.448,8.6796,47.97063,09:52,09:52,10:12,0.0,0.0
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,1,16,85.2,0.1931,44.639126,09:40,09:40,10:00,0.0,0.0
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,2,35,1692.578,3.88436,30.451356,10:51,10:51,11:11,0.0,0.0
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,3,46,319.84,1.048839,7.938486,11:24,11:24,11:44,0.0,0.0
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,4,87,180.291,0.46473,1.838199,11:56,11:56,12:16,0.0,0.0
EV-3000-003-T01,EV-3000-003,1,EV-3000,electric,5,32,442.334,1.12524,7.131599,12:59,13:08,13:28,8.683,0.0
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,1,86,532.895,2.84858,27.723214,10:00,10:06,10:26,5.876,0.0
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,2,37,564.949,1.8194,19.088534,10:58,10:58,11:18,0.0,15.353
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,3,56,1065.161,2.672931,20.343517,12:52,13:50,14:10,57.518,0.0
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,4,75,17.441,0.045417,17.317797,14:29,14:29,14:49,0.0,0.0
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,5,95,109.35,0.29746,30.98484,15:35,15:35,15:55,0.0,1.004
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,6,2,14.89,0.04317,49.567158,18:09,18:09,18:29,0.0,0.0
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,7,28,257.311,0.628823,27.681444,19:24,19:27,19:47,2.514,0.0
EV-3000-004-T01,EV-3000-004,1,EV-3000,electric,8,34,364.05,1.5211,13.888062,20:02,20:02,20:22,0.0,0.0
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,1,42,606.044,1.436023,62.568183,10:12,10:14,10:34,1.681,0.0
EV-3000-005-T01,EV-3000-005,1,EV-3000,electric,2,79,2315.131,7.36652,14.588193,10:59,10:59,11:19,0.0,13.726
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,1,85,593.83,1.42095,34.51594,10:59,10:59,11:19,0.0,0.0
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,2,13,540.087,1.27918,21.798126,13:00,13:00,13:20,0.0,0.0
EV-3000-006-T01,EV-3000-006,1,EV-3000,electric,3,7,1463.235,3.654392,14.510032,13:36,13:36,13:56,0.0,0.0
EV-3000-002-T02,EV-3000-002,2,EV-3000,electric,1,88,79.601,0.53748,15.189998,13:03,13:03,13:23,0.0,103.679
EV-3000-002-T02,EV-3000-002,2,EV-3000,electric,2,69,2288.886,6.06402,27.687774,13:53,15:46,16:06,113.28,0.0
EV-3000-002-T02,EV-3000-002,2,EV-3000,electric,3,65,552.587,1.268583,7.932282,16:19,16:19,16:39,0.0,0.0
EV-3000-007-T01,EV-3000-007,1,EV-3000,electric,1,42,3000.0,7.108509,62.568183,11:15,11:15,11:35,0.0,0.0
EV-3000-008-T01,EV-3000-008,1,EV-3000,electric,1,42,3000.0,7.108509,62.568183,11:15,11:15,11:35,0.0,0.0
EV-3000-009-T01,EV-3000-009,1,EV-3000,electric,1,9,2649.949,6.65072,40.429913,10:06,10:06,10:26,0.0,0.0
EV-3000-010-T01,EV-3000-010,1,EV-3000,electric,1,38,1261.733,4.06727,68.59541,10:38,10:38,10:58,0.0,0.0
EV-3000-010-T01,EV-3000-010,1,EV-3000,electric,2,6,1473.642,3.947331,26.896185,12:20,12:20,12:40,0.0,0.0
EV-3000-009-T02,EV-3000-009,2,EV-3000,electric,1,60,3000.0,7.878843,18.374091,13:07,13:07,13:27,0.0,90.908
EV-3000-010-T02,EV-3000-010,2,EV-3000,electric,1,60,3000.0,7.878843,18.374091,14:00,14:00,14:20,0.0,144.42
EV-3000-009-T03,EV-3000-009,3,EV-3000,electric,1,60,3000.0,7.878843,18.374091,14:07,14:07,14:27,0.0,150.78
EV-3000-007-T02,EV-3000-007,2,EV-3000,electric,1,60,906.629,2.381062,18.374091,14:13,14:13,14:33,0.0,156.724
EV-3000-007-T02,EV-3000-007,2,EV-3000,electric,2,92,1524.512,3.82045,25.961657,15:01,15:01,15:21,0.0,0.0
EV-3000-008-T02,EV-3000-008,2,EV-3000,electric,1,8,3000.0,9.065423,33.027448,14:29,14:29,14:49,0.0,161.623
EV-3000-005-T02,EV-3000-005,2,EV-3000,electric,1,8,2922.341,8.830752,33.027448,14:30,14:30,14:50,0.0,162.796
EV-3000-010-T03,EV-3000-010,3,EV-3000,electric,1,8,3000.0,9.065423,33.027448,15:25,15:25,15:45,0.0,218.292
EV-3000-009-T04,EV-3000-009,4,EV-3000,electric,1,8,3000.0,9.065423,33.027448,15:35,15:35,15:55,0.0,228.227
EV-3000-006-T02,EV-3000-006,2,EV-3000,electric,1,46,3000.0,9.837781,65.198096,16:56,16:56,17:16,0.0,285.087
