route_id,physical_vehicle_id,trip_number,vehicle_type,start,finish,start_minutes_exact,finish_minutes_exact,stops,load_weight_kg,load_volume_m3,distance_km,energy_amount,energy_unit,emissions_kg,fixed_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_cost
EV-3000-001-T01,EV-3000-001,1,EV-3000,13:30,22:00,810.0,1320.0407347,5,2958.32,7.818115,274.430321,107.085974,kWh,53.650073,400.0,175.62,34.87,0.9,0.0,611.39
EV-3000-002-T01,EV-3000-002,1,EV-3000,08:50,15:14,530.0,914.261931793,1,3000.0,8.652022,240.481206,95.721672,kWh,47.956557,400.0,156.98,31.17,0.0,0.0,588.16
EV-3000-003-T01,EV-3000-003,1,EV-3000,09:10,19:08,550.0,1147.628552066,4,2981.731,8.521315,225.477444,89.287079,kWh,44.732827,400.0,146.43,29.08,14.82,21.34,611.66
EV-3000-004-T01,EV-3000-004,1,EV-3000,14:10,22:54,850.0,1374.349337505,6,2807.891,7.56947,257.54275,102.491857,kWh,51.34842,400.0,168.09,33.38,0.08,20.03,621.57
EV-3000-005-T01,EV-3000-005,1,EV-3000,08:00,15:37,480.0,936.799526457,6,2651.714,6.629951,177.724378,68.880391,kWh,34.509076,400.0,112.96,22.43,0.0,15.66,551.06
EV-3000-006-T01,EV-3000-006,1,EV-3000,11:20,21:00,680.0,1260.050064238,6,2962.04,8.07146,197.056016,77.600545,kWh,38.877873,400.0,127.26,25.27,39.71,0.12,592.37
EV-3000-007-T01,EV-3000-007,1,EV-3000,09:20,20:25,560.0,1224.86801438,7,2865.872,8.228974,262.245076,104.370611,kWh,52.289676,400.0,171.17,33.99,27.85,0.0,633.0
EV-3000-008-T01,EV-3000-008,1,EV-3000,11:00,16:58,660.0,1017.970673833,1,3000.0,7.458962,194.169364,77.325679,kWh,38.740165,400.0,126.81,25.18,0.0,0.0,552.0
EV-3000-002-T02,EV-3000-002,2,EV-3000,15:14,21:20,914.261931793,1279.593661463,1,3000.0,7.810805,192.210952,76.646833,kWh,38.400063,0.0,125.7,24.96,0.0,26.1,176.76
EV-3000-005-T02,EV-3000-005,2,EV-3000,15:37,21:34,936.799526457,1294.02098246,1,3000.0,7.810805,192.210952,76.671767,kWh,38.412555,0.0,125.74,24.97,0.0,38.12,188.83
