route_id,vehicle_type,start,finish,stops,load_weight_kg,load_volume_m3,distance_km,energy_amount,energy_unit,emissions_kg,fixed_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_cost
EV-3000-001,EV-3000,09:50,12:12,2,3000.0,8.207269,45.577652,18.645671,kWh,9.341481,400.0,30.58,6.07,0.0,0.0,436.65
EV-3000-002,EV-3000,09:00,13:54,4,3000.0,9.019023,115.804182,44.60128,kWh,22.345241,400.0,73.15,14.52,9.54,0.0,497.21
EV-3000-003,EV-3000,10:00,11:22,1,3000.0,7.878842,36.748183,14.549818,kWh,7.289459,400.0,23.86,4.74,0.0,0.0,428.6
EV-3000-004,EV-3000,10:00,11:22,1,3000.0,7.878842,36.748183,14.549818,kWh,7.289459,400.0,23.86,4.74,0.0,0.0,428.6
EV-3000-005,EV-3000,10:00,13:58,3,3000.0,8.388003,87.890164,35.958656,kWh,18.015287,400.0,58.97,11.71,0.0,0.0,470.68
EV-3000-006,EV-3000,09:40,13:23,2,3000.0,10.39363,90.422454,36.855625,kWh,18.464668,400.0,60.44,12.0,0.0,0.0,472.45
EV-3000-007,EV-3000,09:00,13:32,2,3000.0,9.260571,126.767888,48.77407,kWh,24.435809,400.0,79.99,15.88,0.0,0.0,495.87
EV-3000-008,EV-3000,09:50,13:22,2,3000.0,7.967884,78.772938,31.632504,kWh,15.847884,400.0,51.88,10.3,0.0,0.0,462.18
EV-3000-009,EV-3000,08:50,13:26,2,3000.0,9.26642,133.396069,56.251794,kWh,28.182149,400.0,92.25,18.32,0.0,0.0,510.57
EV-3000-010,EV-3000,10:30,13:23,1,3000.0,9.174782,66.054897,26.357947,kWh,13.205332,400.0,43.23,8.58,0.0,0.0,451.81
FUEL-3000-001,FUEL-3000,10:30,13:23,1,3000.0,9.174782,66.054897,20.805049,L,52.990461,400.0,158.33,34.44,0.0,0.0,592.77
FUEL-3000-002,FUEL-3000,10:00,14:04,3,3000.0,9.018277,92.382795,28.662038,L,73.002212,400.0,218.12,47.45,0.34,0.87,666.78
FUEL-3000-003,FUEL-3000,09:10,13:25,1,3000.0,7.113609,125.136366,38.841511,L,98.92933,400.0,295.58,64.3,0.0,0.0,759.89
FUEL-3000-004,FUEL-3000,09:10,13:25,1,3000.0,7.113609,125.136366,38.841511,L,98.92933,400.0,295.58,64.3,0.0,0.0,759.89
FUEL-3000-005,FUEL-3000,09:30,14:05,3,3000.0,7.886724,118.540206,38.278717,L,97.495891,400.0,291.3,63.37,0.0,3.06,757.73
FUEL-3000-006,FUEL-3000,08:50,14:05,3,3000.0,9.503672,166.175398,50.781405,L,129.340239,400.0,386.45,84.07,0.0,0.0,870.52
FUEL-3000-007,FUEL-3000,09:10,14:21,2,3000.0,8.639473,173.543991,52.964537,L,134.900676,400.0,403.06,87.69,0.0,0.0,890.75
FUEL-3000-008,FUEL-3000,10:40,14:49,2,3000.0,7.632699,122.957451,37.341469,L,95.108722,400.0,284.17,61.82,0.0,0.0,745.99
FUEL-3000-009,FUEL-3000,09:40,14:17,2,3000.0,9.762964,134.49948,41.654649,L,106.094392,400.0,316.99,68.96,0.0,0.0,785.95
FUEL-3000-010,FUEL-3000,10:40,14:46,2,3000.0,7.331357,118.152947,36.191045,L,92.178592,400.0,275.41,59.92,0.0,0.0,735.33
FUEL-3000-011,FUEL-3000,10:20,17:17,5,3000.0,7.940029,154.82998,50.23661,L,127.952645,400.0,382.3,83.17,7.23,1.55,874.25
FUEL-3000-012,FUEL-3000,13:00,14:27,2,3000.0,9.051709,42.918245,12.647884,L,32.21416,400.0,96.25,20.94,0.0,0.0,517.19
FUEL-3000-013,FUEL-3000,09:30,14:18,1,3000.0,7.890967,164.154553,50.709588,L,129.157321,400.0,385.9,83.95,0.0,0.0,869.85
FUEL-3000-014,FUEL-3000,09:30,14:18,1,3000.0,7.890967,164.154553,50.709588,L,129.157321,400.0,385.9,83.95,0.0,0.0,869.85
FUEL-3000-015,FUEL-3000,09:30,14:46,2,3000.0,7.567808,171.065963,54.279897,L,138.250899,400.0,413.07,89.86,0.0,0.0,902.93
FUEL-3000-016,FUEL-3000,11:20,15:02,1,3000.0,9.226733,113.846993,35.445973,L,90.280892,400.0,269.74,58.68,0.0,0.0,728.43
FUEL-3000-017,FUEL-3000,10:10,15:57,3,3000.0,9.124545,165.974905,49.125241,L,125.121988,400.0,373.84,81.33,0.0,0.0,855.17
FUEL-3000-018,FUEL-3000,14:30,17:19,3,3000.0,7.728609,74.169883,21.697526,L,55.263599,400.0,165.12,35.92,0.0,0.0,601.04
FUEL-3000-019,FUEL-3000,13:00,17:01,2,3000.0,7.523143,145.308654,43.677376,L,111.246276,400.0,332.38,72.31,0.0,0.0,804.69
FUEL-3000-020,FUEL-3000,10:10,15:34,2,3000.0,8.481589,168.853962,49.725345,L,126.650454,400.0,378.41,82.32,4.69,0.0,865.42
FUEL-3000-021,FUEL-3000,08:10,16:33,3,3000.0,7.277693,197.219421,62.783383,L,159.909278,400.0,477.78,103.94,32.63,14.5,1028.85
FUEL-3000-022,FUEL-3000,11:00,15:58,2,3000.0,8.255446,140.175051,43.715985,L,111.344614,400.0,332.68,72.37,0.0,0.0,805.05
FUEL-3000-023,FUEL-3000,08:50,15:14,1,3000.0,8.652019,240.481206,74.15046,L,188.861222,400.0,564.29,122.76,0.0,0.0,1087.04
FUEL-3000-024,FUEL-3000,08:50,16:55,2,3000.0,8.522633,220.304791,69.42385,L,176.822545,400.0,528.32,114.93,22.03,0.0,1065.28
FUEL-3000-025,FUEL-3000,11:20,16:28,2,3000.0,8.220174,145.979927,45.054912,L,114.754862,400.0,342.87,74.59,0.0,0.12,817.58
FUEL-3000-026,FUEL-3000,14:10,15:54,1,3000.0,7.677194,60.313583,18.462587,L,47.024209,400.0,140.5,30.57,0.0,0.0,571.07
FUEL-3000-027,FUEL-3000,14:10,15:54,1,3000.0,7.677194,60.313583,18.462587,L,47.024209,400.0,140.5,30.57,0.0,0.0,571.07
FUEL-3000-028,FUEL-3000,14:30,17:33,2,3000.0,9.148919,105.528409,32.711197,L,83.31542,400.0,248.93,54.16,0.0,0.0,703.09
FUEL-3000-029,FUEL-3000,12:50,17:26,3,3000.0,8.105568,164.144098,50.573432,L,128.810532,400.0,384.86,83.73,0.0,0.1,868.69
FUEL-3000-030,FUEL-3000,13:20,15:39,1,3000.0,7.286971,96.948158,29.532782,L,75.219997,400.0,224.74,48.89,0.0,0.0,673.64
FUEL-3000-031,FUEL-3000,13:20,15:39,1,3000.0,7.286971,96.948158,29.532782,L,75.219997,400.0,224.74,48.89,0.0,0.0,673.64
FUEL-3000-032,FUEL-3000,14:00,17:14,2,3000.0,7.427622,112.718217,33.705796,L,85.848663,400.0,256.5,55.8,0.0,0.0,712.3
FUEL-3000-033,FUEL-3000,13:20,17:29,2,3000.0,9.910553,159.317758,46.72889,L,119.018483,400.0,355.61,77.36,0.0,0.0,832.97
FUEL-3000-034,FUEL-3000,13:30,17:22,1,3000.0,7.528245,160.903812,49.141068,L,125.1623,400.0,373.96,81.36,0.0,0.0,855.32
FUEL-3000-035,FUEL-3000,13:10,17:29,3,3000.0,7.870816,156.018071,47.500987,L,120.985015,400.0,361.48,78.64,0.24,0.0,840.36
FUEL-3000-036,FUEL-3000,13:10,17:38,1,3000.0,7.458961,194.169364,59.235726,L,150.873394,400.0,450.78,98.07,0.0,0.0,948.85
FUEL-3000-037,FUEL-3000,13:00,18:25,3,3000.0,7.62505,219.18045,68.011785,L,173.226015,400.0,517.57,112.6,0.0,0.22,1030.38
FUEL-3000-038,FUEL-3000,15:20,17:41,1,3000.0,9.524279,84.711666,26.055295,L,66.362836,400.0,198.28,43.14,0.0,0.0,641.42
FUEL-3000-039,FUEL-3000,15:20,18:00,2,3000.0,8.150405,84.836602,26.461715,L,67.397989,400.0,201.37,43.81,0.0,0.0,645.18
FUEL-3000-040,FUEL-3000,14:10,17:31,2,3000.0,9.059009,121.383202,37.050912,L,94.368674,400.0,281.96,61.34,0.08,0.0,743.38
FUEL-3000-041,FUEL-3000,16:40,18:25,1,3000.0,6.860264,71.557345,21.794614,L,55.510881,400.0,165.86,36.08,0.0,0.0,601.94
FUEL-3000-042,FUEL-3000,16:40,18:25,1,3000.0,6.860264,71.557345,21.794614,L,55.510881,400.0,165.86,36.08,0.0,0.0,601.94
