route_id,physical_vehicle_id,trip_number,vehicle_type,start,finish,start_minutes_exact,finish_minutes_exact,stops,load_weight_kg,load_volume_m3,distance_km,energy_amount,energy_unit,emissions_kg,fixed_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_cost
EV-3000-001-T01,EV-3000-001,1,EV-3000,09:20,20:25,560.0,1224.86801438,7,2865.872,8.228974,262.245076,104.370611,kWh,52.289676,400.0,171.17,33.99,27.85,0.0,633.0
EV-3000-002-T01,EV-3000-002,1,EV-3000,08:00,15:37,480.0,936.799526457,6,2651.714,6.629951,177.724378,68.880391,kWh,34.509076,400.0,112.96,22.43,0.0,15.66,551.06
EV-3000-003-T01,EV-3000-003,1,EV-3000,09:40,16:47,580.0,1006.748226544,4,2977.466,8.467152,190.461648,73.975309,kWh,37.06163,400.0,121.32,24.09,3.13,0.0,548.54
EV-3000-004-T01,EV-3000-004,1,EV-3000,09:10,19:08,550.0,1147.628552066,4,2981.731,8.521315,225.477444,89.287079,kWh,44.732827,400.0,146.43,29.08,14.82,21.34,611.66
EV-3000-005-T01,EV-3000-005,1,EV-3000,08:50,15:14,530.0,914.261931793,1,3000.0,8.652022,240.481206,95.721672,kWh,47.956557,400.0,156.98,31.17,0.0,0.0,588.16
EV-3000-006-T01,EV-3000-006,1,EV-3000,08:40,13:54,520.0,833.635184012,4,2983.442,8.423883,125.826987,48.23852,kWh,24.167498,400.0,79.11,15.71,0.0,0.0,494.82
EV-3000-007-T01,EV-3000-007,1,EV-3000,13:30,22:00,810.0,1320.0407347,5,2958.32,7.818115,274.430321,107.085974,kWh,53.650073,400.0,175.62,34.87,0.9,0.0,611.39
EV-3000-008-T01,EV-3000-008,1,EV-3000,08:20,13:17,500.0,797.462382935,2,2848.026,10.2151,130.15077,52.937071,kWh,26.521473,400.0,86.82,17.24,0.0,0.0,504.06
EV-3000-009-T01,EV-3000-009,1,EV-3000,11:20,21:00,680.0,1260.050064238,6,2962.04,8.07146,197.056016,77.600545,kWh,38.877873,400.0,127.26,25.27,39.71,0.12,592.37
EV-3000-010-T01,EV-3000-010,1,EV-3000,10:50,19:56,650.0,1195.703780701,3,2194.834,5.945487,119.320705,45.76798,kWh,22.929758,400.0,75.06,14.9,67.59,0.0,557.56
EV-3000-008-T02,EV-3000-008,2,EV-3000,14:07,22:54,847.462382935,1374.349337505,6,2807.891,7.56947,257.54275,102.49617,kWh,51.350581,0.0,168.09,33.38,1.4,20.03,222.9
FUEL-3000-001-T01,FUEL-3000-001,1,FUEL-3000,10:10,14:36,610.0,875.785921694,3,2772.246,8.023402,116.682691,34.380709,L,87.567666,400.0,261.64,56.92,0.0,19.6,738.16
EV-3000-006-T02,EV-3000-006,2,EV-3000,13:54,17:30,833.635184012,1050.429352642,1,3000.0,7.108509,125.136366,49.73248,kWh,24.915973,0.0,81.56,16.2,0.0,184.48,282.24
FUEL-3000-002-T01,FUEL-3000-002,1,FUEL-3000,09:10,13:25,550.0,805.01233237,1,3000.0,7.108509,125.136366,38.841511,L,98.92933,400.0,295.58,64.3,0.0,0.0,759.89
FUEL-3000-003-T01,FUEL-3000-003,1,FUEL-3000,09:00,11:42,540.0,702.11493358,1,2866.448,8.6796,95.94126,29.224835,L,74.435655,400.0,222.4,48.38,0.0,0.0,670.78
EV-3000-005-T02,EV-3000-005,2,EV-3000,15:14,20:49,914.261931793,1249.152722543,1,3000.0,7.785846,164.154553,65.492588,kWh,32.811787,0.0,107.41,21.33,0.0,317.58,446.32
EV-3000-002-T02,EV-3000-002,2,EV-3000,15:37,21:04,936.799526457,1263.58004354,1,3000.0,7.785846,164.154553,65.517523,kWh,32.824279,0.0,107.45,21.34,0.0,329.61,458.39
FUEL-3000-004-T01,FUEL-3000-004,1,FUEL-3000,09:30,14:18,570.0,858.088122444,1,2956.665,7.673379,164.154553,50.587667,L,128.846788,400.0,384.97,83.75,0.0,0.0,868.72
FUEL-3000-005-T01,FUEL-3000-005,1,FUEL-3000,09:40,13:56,580.0,836.431398891,1,3000.0,9.837781,130.396191,40.473038,L,103.084828,400.0,308.0,67.01,0.0,0.0,775.0
FUEL-3000-006-T01,FUEL-3000-006,1,FUEL-3000,10:30,14:52,630.0,892.326695142,2,2966.724,8.620091,131.927771,39.902031,L,101.630472,400.0,303.65,66.06,0.0,21.42,791.14
FUEL-3000-007-T01,FUEL-3000-007,1,FUEL-3000,09:50,13:10,590.0,789.736503775,2,2984.801,7.3825,70.923811,22.94578,L,58.442901,400.0,174.62,37.99,0.0,0.0,612.61
EV-3000-003-T02,EV-3000-003,2,EV-3000,16:47,22:21,1006.748226544,1340.923129717,1,3000.0,7.458962,194.169364,77.527752,kWh,38.841404,0.0,127.15,25.25,0.0,262.99,415.38
FUEL-3000-008-T01,FUEL-3000-008,1,FUEL-3000,10:30,13:23,630.0,802.716788608,1,3000.0,9.065423,66.054897,20.805049,L,52.990461,400.0,158.33,34.44,0.0,0.0,592.77
FUEL-3000-009-T01,FUEL-3000-009,1,FUEL-3000,10:30,13:23,630.0,802.716788608,1,3000.0,9.065423,66.054897,20.805049,L,52.990461,400.0,158.33,34.44,0.0,0.0,592.77
FUEL-3000-010-T01,FUEL-3000-010,1,FUEL-3000,10:30,13:23,630.0,802.716788608,1,3000.0,9.065423,66.054897,20.805049,L,52.990461,400.0,158.33,34.44,0.0,0.0,592.77
FUEL-3000-011-T01,FUEL-3000-011,1,FUEL-3000,10:30,13:23,630.0,802.716788608,1,2922.341,8.830752,66.054897,20.716675,L,52.765371,400.0,157.65,34.3,0.0,0.0,591.95
EV-3000-006-T03,EV-3000-006,3,EV-3000,17:30,21:42,1050.429352642,1301.913547291,1,3000.0,7.294581,145.426858,58.075988,kWh,29.09607,0.0,95.24,18.91,0.0,288.35,402.51
FUEL-3000-003-T02,FUEL-3000-003,2,FUEL-3000,12:52,16:05,772.11493358,964.774908574,1,3000.0,8.440433,131.671757,40.224578,L,102.452001,0.0,306.11,66.59,0.0,0.03,372.73
FUEL-3000-012-T01,FUEL-3000-012,1,FUEL-3000,11:20,15:02,680.0,901.831060852,1,3000.0,9.436114,113.846993,35.445973,L,90.280892,400.0,269.74,58.68,0.0,0.0,728.43
FUEL-3000-013-T01,FUEL-3000-013,1,FUEL-3000,11:20,15:02,680.0,901.831060852,1,3000.0,9.436114,113.846993,35.445973,L,90.280892,400.0,269.74,58.68,0.0,0.0,728.43
FUEL-3000-014-T01,FUEL-3000-014,1,FUEL-3000,10:00,11:22,600.0,682.285055863,1,3000.0,7.878843,36.748183,11.395644,L,29.024705,400.0,86.72,18.87,0.0,0.0,505.59
FUEL-3000-015-T01,FUEL-3000-015,1,FUEL-3000,10:00,11:22,600.0,682.285055863,1,3000.0,7.878843,36.748183,11.395644,L,29.024705,400.0,86.72,18.87,0.0,0.0,505.59
FUEL-3000-016-T01,FUEL-3000-016,1,FUEL-3000,10:00,11:22,600.0,682.285055863,1,3000.0,7.878843,36.748183,11.395644,L,29.024705,400.0,86.72,18.87,0.0,0.0,505.59
EV-3000-004-T02,EV-3000-004,2,EV-3000,19:08,22:22,1147.628552066,1342.207732862,1,3000.0,7.528245,160.903812,63.969737,kWh,32.048838,0.0,104.91,20.83,0.0,271.6,397.34
EV-3000-010-T02,EV-3000-010,2,EV-3000,19:56,23:10,1195.703780701,1390.282961497,1,3000.0,7.528245,160.903812,63.969737,kWh,32.048838,0.0,104.91,20.83,0.0,311.66,437.4
FUEL-3000-017-T01,FUEL-3000-017,1,FUEL-3000,13:00,15:55,780.0,954.642012659,1,3000.0,7.492424,124.405454,37.910911,L,96.559089,400.0,288.5,62.76,0.0,0.0,751.27
FUEL-3000-018-T01,FUEL-3000-018,1,FUEL-3000,13:00,15:55,780.0,954.642012659,1,3000.0,7.492424,124.405454,37.910911,L,96.559089,400.0,288.5,62.76,0.0,0.0,751.27
FUEL-3000-014-T02,FUEL-3000-014,2,FUEL-3000,12:02,15:18,722.285055863,917.673377109,1,2786.418,8.08285,112.020733,34.172715,L,87.037905,0.0,260.05,56.57,0.0,0.0,316.63
